Title,Discipline1,Discipline2,More
Foundations of Physics,Fizyka,,
Foundations of Physics Letters,Fizyka,,
Fragmenta Floristica et Geobotanica,Botanika,,
Fragmenta Floristica et Geobotanica. Series Polonica,Botanika,Biologia,Ekologia;Ochrona środowiska
Francofonia,Literaturoznawstwo,Językoznawstwo,
Fraza: pismo literacko-społeczne,Kulturoznawstwo,Literaturoznawstwo,Sztuka
Fredrikke,Zdrowie i bezpieczeństwo publiczne,,
Free Radical Research,Biochemia,Biologia molekularna,
Fresenius Environmental Bulletin,Nauki o środowisku,,
Freshwater Biology,Hydrobiologia,,
Frontiers in Materials,Materiałoznawstwo,,
Frontiers in Plant Science,Botanika,,
Frontiers of Physics,Fizyka,,
Frühneuzeit-Info,Historia i archiwistyka,,
Fruit Science Reports,Ogrodnictwo i sadownictwo,,
Fu Jen Studies,Literaturoznawstwo,Językoznawstwo,
Fuel,Inżynieria chemiczna,Energia i paliwa,
Fuel Processing Technology,Chemia fizyczna,Energia i paliwa,Inżynieria chemiczna
"Fullerenes, Nanotubes and Carbon Nanostructures",Chemia fizyczna,Nanotechnologia,Fizyka chemiczna;Materiałoznawstwo
Functional Materials,Chemia,,
Fundamental and Applied Limnology,Limnologia,Hydrobiologia,
Fusion Science and Technology,Technika jądrowa,,
Future Generation Computer Systems,Informatyka,,
G?staryčny Al'manah,,,
Gas Separation and Purification,Inżynieria chemiczna,,
Gazeta Gdańska,Nauki społeczne,Nauki polityczne,Administracja
Gazeta Miejska (Toruń),Nauki społeczne,Nauki polityczne,Administracja
Gazeta Niedzielna,Reliogioznawstwa i teologia,,
Gazeta Penitencjarna,Prawo,,
Gazeta Pomorska,Nauki społeczne,Nauki polityczne,Administracja
Gazeta Prawna,Prawo,,
Gazeta Rycerska,Historia i archiwistyka,,
Gazeta Sądowa: dwutygodnik prawników,Prawo,,
Gazeta Średzka,Nauki społeczne,Nauki pokityczne,Administracja
Gazeta Targowa Pomorza i Kujaw,Ekonomia,,
Gazeta Toruńska,Nauki społeczne,Nauki polityczne,Administracja
Gazeta Ubezpieczeniowa,Ubezpieczenia,,
Gazeta Wolnych Inicjatyw Edukacyjnych,Pedagogika,Edukacja,
Gazeta Wyborcza,Nauki społeczne,Nauki polityczne,Administracja
Gazeta Wyborcza (Toruń),Nauki społeczne,Nauki polityczne,Administracja
Gazeta Wyborcza (Wrocław),Nauki społeczne,Nauki polityczne,Administracja
GazetAMG / [Akademia Medyczna w Gdańsku],Medycyna,,
Gdańskie Studia Antropologiczne,Antropologia kulturowa,,
Gdańskie Studia Muzealne,Historia i archiwistyka,Sztuka,
Gdańskie Studia Prawnicze - Przegląd Orzecznictwa,Prawo,,
Gdańskie Zapiski Numizmatyczne,,,
Gdańskie Zeszyty Humanistyczne,Nauki humanistyczne,,
Gdańskie Zeszyty Numizmatyczne,Numizmatyka,,
"Gender Zeitschrift für Geschlecht, Kultur und Gesellschaft",Psychologia,,
Gene: an international journal focusing on gene cloning and gene structure and function.,Genetyka,,
Genes and Development,Genetyka,Komórka biologiczna,Biologia rozwoju;
Géocarrefour,Geografia,,
Geoderma,Gleboznawstwo,,
Geodeta: magazyn geoinformacyjny,Geodezja,,
Geodezja i Kartografia,Geodezja,,
Geografija,Geografia,,
"Geografiska Annaler. Series A, Physical Geograpy",Geografia fizyczna,Geologia,
Geographica Iugoslavica,Geografia,,
Geography and Tourism (Bydgoszcz),Geografia,Turystyka,
Geoinformacja w Zarządzaniu,,,
GeoJournal,Geografia,,
Geologija: razprave in poročila.,Geologia,,
Geologos / Uniwersytet im. Adama Mickiewicza.,Geologia,,
"Geology, Geophysics and Environment",Geologia,Górnictwo,Ochrona środowiska
Geometriae Dedicata,Matematyka,,
Geomorphology,Geografia fizyczna,Nauka o Ziemi,
Geoöko,Geografia,Ekologia,
Geophysical Research Abstracts,Geofizyka,,
Geophysical Research Letters,Nauka o Ziemi,,
Georg-Forster-Studien,Nauki przyrodnicze,,
Georgian Mathematical Journal,Matematyka,,
Georgica,Botanika,,
Geoturystyka,Geografia,Turystyka,Górnictwo;Ochrona środowiska;Geologia
German Law Journal,Prawo,,
Germanistische Werkstatt = Prace Germanistyczne,Filologia,,
Germano-Polonica Mitteilungen zur Geschichte der,Emigracja i imigracja,,
Gerol'd Litherland,Historia i archiwistyka,Sztuka,
Gesture,Językoznawstwo,,
Giornale di Astronomia,Astronomia,,
Gjurmime Albanologjike. Seria e Shkencave Filologjike,Nauki humanistyczne,Językoznawstwo,
Glacier Mass Balance Bulletin,Geofizyka,,
Glasgow Mathematical Journal,Matematyka,,
Glaukopis: pismo społeczno-historyczne,Historia i archiwistyka,Nauki polityczne,
Global and Planetary Change,Geografia fizyczna,Nauka o Ziemi,
Global Ecology and Biogeography,Ekologia,Geografia fizyczna,
Global Glacier Change Bulletin,Geologia,,
Global Journal of Human Social Sciences. B,Nauki humanistyczne,Nauki społeczne,
Glosa: prawo gospodarcze w orzeczeniach i komentarzach,Prawo,,
Glotta Zeitschrift für griechische und lateinische Sprache,Filologia,,
Glottodidactica an international journal of applied linguistics ,Językoznawstwo,,
Głos Chełmżyński,Administracja,,
Głos Lubawski,Administracja,,
Głos Uczelni : biuletyn Wyższej Szkoły Pedagogicznej im. Tadeusza Kotarbińskiego w Zielonej Górze.,Administracja,,
Głos Uczelni: biuletyn informacyjny Akademii Rolniczej we Wrocławiu,Administracja,,
Głos Uczelni: pismo Uniwersytetu Mikołaja Kopernika,Administracja,,
Gmina. Magazyn Samorządowy,Administracja,,
Gnomon kritische Zeitschrift für die Gesamte  klassische Altertumswissenschaft,Filologia,Archeologia,
Gościniec Sztuki: magazyn artystyczno-literacki,Sztuka,Literaturoznawstwo,
Govor (Zagreb),Językoznawstwo,,
Grabonoskie Zapiski Regionalne,Kulturoznawstwo,Sztuka,
Graeco-Latina Brunensia,Filologia,,
Graefe's Archive for Clinical and Experimental,Okulistyka,,
Grajewskie Zeszyty Historyczne,Historia i archiwistyka,Wojskowość i policja,
Graph Theory Notes of New York,Matematyka,Informatyka,
Graphische Kunst,Grafika,,
Graphs and Combinatorics,Matematyka,,
Grazer Philosophische Studien,Filozofia,,
Green Processing and Synthesis,Chemia,Ekologia,Inżynieria chemiczna
Greifswalder Geographische Arbeiten,Geografia,,
Group Decision and Negotiation,Nauki społeczne,Organizacja i zarządzanie,
Gryf Kościerski,Administracja,,
GSTF Journal of Engineering Technology,Technologia,,
Guerres Mondiales et Conflits Contemporains,Historia i archiwistyka,Stosunki międzynarodowe,
Guliwer: kwartalnik o książce dla dziecka,Literaturoznawstwo,,
Gumanitarnye Nauki v Sibiri,Historia i archiwistyka,Etnologia,Archeologia
Gutenberg-Jahrbuch,Historia i archiwistyka,Typografia,
Gwiazda Morza: gdański dwutygodnik katolicki.,Reliogioznawstwa i teologia,,
Gwiazda Polarna,Historia i archiwistyka,Nauki społeczne,Nauki polityczne;
Hague Yearbook of International Law,Prawo,,
Handel Zagraniczny,Ekonomia,Handel,
Hansische Geschichtsblätter,Historia i archiwistyka,Polityka gospodarcza,
Harvard Business Review Polska: siła nowych idei,Biznes,Ekonomia,
"Health (Irvine, Calif.)",Zdrowie i bezpieczeństwo publiczne,,
Heart Research Open Journal,Zdrowie i bezpieczeństwo publiczne,,
Hegel-Jahrbuch,Filozofia,Filologia,
"Hellēnika : philologikon, historikon kai laographikon periodikon syngramma Parartēma",Historia i archiwistyka,Filologia,
Helminthologia,Zoologia,Parazytologia,
Helvetica Chimica Acta,Chemia,,
Hemispheres studies on cultures and societies,Kulturoznawstwo,Nauki społeczne,
Hepatitis Monthly,Gastrologia,Hepatologia,
Hepatology,Gastrologia,Hepatologia,
Hepatology International,Gastrologia,Hepatologia,
"Herald: historia, genealogia, heraldyka ",Historia i archiwistyka,,
Heredity,Ekologia,Genetyka,Biologia ewolucyjna
Hernia,Chirurgia,,
Herpetological Journal,Zoologia,,
Hessische Blätter für Volksbildung,Kulturoznawstwo,,
Heteroatom Chemistry,Chemia,,
Heterocycles,Chemia organiczna,,
Heteroglossia studia kulturoznawczo-filologiczne,Językoznawstwo,Literaturoznawstwo,Kulturoznawstwo
Heureka: problemy społecznego ruchu naukowego,Nauki społeczne,,
High Energy Chemistry,Chemia fizyczna,,
High Energy Density Physics,Fizyka,,
High Pressure Research,Fizyka,,
High Temperatures - High Pressures,Mechanika,Termodynamika,Materiałoznawstwo
Higher Education,Edukacja,,
Himiâ Geterocikličeskih Soedinenij,Chemia organiczna,,
Himiâ i Industriâ (Sofiâ),Chemia,,
Hiroshima Mathematical Journal,Matematyka,,
Histochemistry,Chemia,,
Histochemistry and Cell Biology,Mikroskopia,Komórka biologiczna,
Histology and Histopathology,Patologia,Komórka biologiczna,
Historia Academica: studia i materiały,Administracja,,
Historia Urbana,Historia i archiwistyka,Architektura,
Historia: pismo młodych historyków,Historia i archiwistyka,,
Historische Zeitschrift,Historia i archiwistyka,,
Historisk Tidsskrift,Historia i archiwistyka,,
History of European Ideas,Historia i archiwistyka,,
History of Political Thought,Nauki polityczne,,
Historyka: studia metodologiczne,Historia i archiwistyka,,
Hochschulwesen,Nauka,,
Holocene,Geografia fizyczna,Nauka o Ziemi,
Homo - journal of comparative human biology,Antropologia kulturowa,,
Homo Dei: dwumiesięcznik ascetyczno-praktyczny,Reliogioznawstwa i teologia,,
Horizons Seoul journal of humanities,Nauki humanistyczne,,
Horyzont biuletyn informacyjny / Biblioteka Uniwersytecka w Toruniu.,Bibliotekoznawstwo i informacja naukowa,,
Hotel Profit,Ekonomia,Biznes,
Hron?ka 2000 ukra?ns'kij kul'turolog?čnij al'manah,,,
Human Ecology,Antropologia kulturowa,Socjologia,
Human Gene Therapy,Medycyna,Genetyka,Biotechnologia;Mikrobiologia
Human Genomics,Genetyka,,
Human Movement Science,Psychologia,Neuronauka,Kultura fizyczna i sport
Human Resources - The Main Factor of Regional development,Nauki humanistyczne,,
Human Resources Management and Ergonomics,Organizacja i zarządzanie,Zarządzanie zasobami ludzkimi,
Human Rights Quarterly,Nauki polityczne,Nauki społeczne,
Humanities International Complete,Literaturoznawstwo,Teatr i film,
Humic Substances in the Environment: an international journal,Ekologia,Gleboznawstwo,
Hungarian Geographical Bulletin,Nauki społeczne,Gospodarka i planowanie,
Hybris: revista de filosofía.,Filozofia,,
Hybryda kwartalnik kulturalno-społeczny,Kulturoznawstwo,Nauki społeczne,
"Hydra: sztuka, filozofia, literatura, nauka",Filozofia,Sztuka,Literaturoznawstwo;Nauka
Hydrobiologia,Hydrobiologia,,
Hydrological Processes,Hydrologia,,
Hydrological Sciences Journal,Hydrologia,,
Hydrology and Earth System Sciences,Hydrologia,Nauka o Ziemi,
Hydrometallurgy,Hutnictwo i metalurgia,,
IAU Circular,Astronomia,,
IAU Symposium,Astronomia,,
IAU Today,,,
IberoSlavica,Językoznawstwo,Literaturoznawstwo,
Ibinacja,Bibliotekoznawstwo i informacja naukowa,,
IBNS Journal,Finanse,Bankowość,Numizmatyka
Icarus,Astronomia,Astrofizyka,
Ice,,,
Idea: studia nad strukturą i rozwojem pojęć,Filozofia,Kulturoznawstwo,Literaturoznawstwo;Nauki społeczne
Ideopolityka,Nauki polityczne,,
IEEE Journal of Quantum Electronics,Fizyka stosowana,Elektrotechnika,Optyka;Elektronika
IEEE Transactions on Control Systems Technology,Elektrotechnika,Elektronika,Automatyka
IEEE Transactions on Industrial Electronics,Elektrotechnika,Elektronika,Automatyka
IEEE Transactions on Instrumentation and Measurement,Elektrotechnika,Elektronika,
IEEE Transactions on Nuclear Science,Technologia,Elektronika,Elektrotechnika;Technika jądrowa
IEEE Transactions on Plasma Science,Fizyka,,
IEEE Transactions on Reliability,Informatyka,Elektrotechnika,Elektronika
"IEEE Transactions on Ultrasonics, Ferroelectrics",Elektrotechnika,Elektronika,Akustyka
IET Nanobiotechnology,Biochemia,Nanotechnologia,
IFIP Advances in Information and Communication,Informatyka,Technologia,
Ikon Časopis za ikonografske studije,Reliogioznawstwa i teologia,Sztuka,
Illinois Journal of Mathematics,Matematyka,,
Iluminacje,Sztuka,,
Ilustrator miesięcznik kulturalno-informacyjny,Sztuka,,
Ilustrowany Kurier Polski,Administracja,,
Immunitet pismo NZS UMK,Administracja,,
Imponderabilia: biuletyn Piłsudczykowski,Nauki polityczne,Historia i archiwistyka,
In Vitro Cellular and Developmental Biology - Plant,Biologia rozwoju,Botanika,Komórka biologiczna
Incontri rivista Europea di studi Italiani,Historia i archiwistyka,,
Indagationes Mathematicae,Matematyka,,
Indagationes Mathematicae. New Series,Matematyka,,
Indian Journal of Experimental Biology,Biologia,,
Indian Phytopathology,Botanika,,
Indiana University Mathematics Journal,Matematyka,,
Indo-European Studies Bulletin,Filologia,,
Industrial and Engineering Chemistry Research,Inżynieria chemiczna,,
Industrial Crops and Products,Rolnictwo,Agronomia,
Industrial Health,Toksykologia,Nauki o środowisku,Zdrowie i bezpieczeństwo publiczne
"Infinite Dimensional Analysis, Quantum Probability",Matematyka,Statystyka i prawdopodobieństwo,
Information Bulletin on Variable Stars,Astronomia,,
Information Processing Letters,Informatyka,,
Informator Kowalski,Administracja,,
Informator Pelpliński: pismo Rady Miejskiej,Administracja,,
Informator Sejmikowy,Administracja,,
Informátor Ústav Racionalizace ve Stavebnictví,,,
Infos zagadnienia społeczno-gospodarcze,Nauki polityczne,Gospodarka i planowanie,
Infrared Physics and Technology,Fizyka,Technologia,
Inne Oblicza Historii,Historia i archiwistyka,,
Innovation the European journal of social science,Socjologia,,
Innowacje w Materiałach Przemysłowych i Technologiach,Innowacje,,
Inorganic Chemistry,Chemia nieorganiczna,Chemia jądrowa,
Inorganic Chemistry Communications,Chemia nieorganiczna,Chemia jądrowa,
Inorganic Reaction Mechanisms,Chemia nieorganiczna,Chemia jądrowa,
Inorganica Chimica Acta,Chemia nieorganiczna,Chemia jądrowa,
Insect Systematics and Evolution,Entomologia,Biologia ewolucyjna,
Inside IBNS (Canada),Ekonomia,Bankowość,Finanse
Institute of Electrical and Electronics Engineers.,Elektrotechnika,Elektronika,
Insurance Mathematics & Economics,Matematyka,Statystyka i prawdopodobieństwo,
Integral Equations and Operator Theory,Matematyka,,
Integrative and Comparative Biology,Zoologia,,
Inter Finitimos,Historia i archiwistyka,Kulturoznawstwo,Literaturoznawstwo;Socjologia;Nauki polityczne
"Inter- literatura, krytyka, kultura",Kulturoznawstwo,,
Intercultural Communications (Tbilisi),,,
Intercultural Education,Edukacja,,
Intereconomics review of European economic policy,Ekonomia,,
International Advances in Economic Research,Ekonomia,,
International Biodeterioration and Biodegradation,Biotechnologia,Mikrobiologia,Nauki o środowisku
International Biodeterioration Bulletin,Biochemia,,
International Community Law Review,Prawo,,
International Journal of Advances in Management and economics,Ekonomia,Organizacja i zarządzanie,
International Journal of Anthropology,Antropologia kulturowa,,
International Journal of Applied Mathematics and Computer Science,Automatyka,Informatyka,Matematyka stosowana;Sztuczna inteligencja
International Journal of Arts and Sciences,Sztuka,Historia i archiwistyka,"Filozofia;Językoznawstwo;Kulturoznawstwo;Psychologia, Socjologia, Ekonomia, Finanse;Nauki polityczne;Administracja;Teatr i film;Ekonomia;Reliogioznawstwa i teologia"
International Journal of Bank Marketing,Ekonomia,Bankowość,Finanse;Organizacja i zarządzanie
"International Journal of Banking, Accounting and Finance",Ekonomia,Bankowość,Finanse
International Journal of Bifurcation and Chaos,Matematyka stosowana,,
International Journal of Biological Macromolecules,Biochemia,Biologia molekularna,Chemia stosowana;Polimery
International Journal of Biometeorology,Biofizyka,Fizjologia,Nauki o środowisku;Meteorologia
International Journal of Business and ICT,Ekonomia,Biznes,
International Journal of Business Excellence,Biznes,Organizacja i zarządzanie,
International Journal of Cancer,Onkologia,,
International Journal of Chemical Kinetics,Chemia fizyczna,,
International Journal of Climatology,Meteorologia,,
International Journal of Clinical Practice,Medycyna,,
International Journal of Comparative Sociology,Socjologia,,
International Journal of Control,Automatyka,,
International Journal of Cosmetic Science,Dermatologia,,
International Journal of Culture and History,Historia i archiwistyka,Kulturoznawstwo,
International Journal of Design & Nature and Ecodynamics,Biotechnologia,Ekologia,
International Journal of Developmental Neuroscience,Biologia rozwoju,Neuronauka,
International Journal of Earth Sciences,Nauka o Ziemi,,
International Journal of Earth Sciences and Engineering,Geologia,Geofizyka,Budownictwo;Górnictwo;Inżynieria środowiska
International Journal of Electronic Commerce,Informatyka,Inżynieria oprogramowania,
International Journal of Environmental Analytical,Chemia analityczna,Nauki o środowisku,Nauki przyrodnicze
International Journal of Food Microbiology,Mikrobiologia,Technologia żywności i żywienia,
International Journal of Forecasting,Ekonomia,Organizacja i zarządzanie,
International Journal of Game Theory,Matematyka stosowana,Statystyka i prawdopodobieństwo,
International Journal of Geometric Methods in Modern Physics,Fizyka matematyczna,,
International Journal of Humanities Social Sciences,Nauki humanistyczne,Nauki społeczne,
International Journal of Hyperthermia,Onkologia,Radiologia,Medycyna nuklearna
International Journal of Indo-Canadian Studies,,,
International Journal of Information Technology and Decision Making,Informatyka,Sztuczna inteligencja,Systemy informacyjne
International Journal of Legal Medicine,Prawo medyczne,,
International Journal of Mass Spectrometry,Fizyka molekularna,Fizyka chemiczna,Spektroskopia
International Journal of Modern Education and,Matematyka,Pedagogika,Elektrotechnika;Telekomunikacja
International Journal of Modern Physics. A,Fizyka jądrowa,,
International Journal of Modern Physics. B,Fizyka stosowana,Fizyka matematyczna,Fizyka materii skondensowanej
International Journal of Modern Physics. D,Astronomia,Astrofizyka,
International Journal of Molecular Sciences,Biochemia,Biologia molekularna,Chemia
International Journal of Nanotechnology,Materiałoznawstwo,Nanotechnologia,
International Journal of Nautical Archaeology,Archeologia,,
International Journal of Nonlinear Differential,Matematyka,,
International Journal of Nuclear Law,Prawo,,
International Journal of Occupational Medicine and Environmental Health,Zdrowie i bezpieczeństwo publiczne,,
International Journal of Occupational Safety and Ergonomics,Zdrowie i bezpieczeństwo publiczne,Ergonomia,
International Journal of Osteoarchaeology,Antropologia kulturowa,,
International Journal of Pedagogical Innovations,Pedagogika,,
"International Journal of Pedagogy, Innovation and New Technologies",Pedagogika,Technologia,
International Journal of Peptide Research and Therapeutics,Biochemia,Biologia molekularna,
International Journal of Pest Management,Entomologia,,
International Journal of Photoenergy,Chemia fizyczna,Energia i paliwa,Optyka;Fizyka molekularna;Fizyka chemiczna
International Journal of Phytoremediation,Nauki o środowisku,,
International Journal of Production Economics,Inżynieria przemysłowa,Inżynieria produkcji,
International Journal of Public Law and Policy,Prawo,,
International Journal of Public Opinion Research,Komunikacja społeczna,,
International Journal of Quantum Chemistry,Chemia fizyczna,Fizyka molekularna,Matematyka stosowana;Fizyka chemiczna
International Journal of Quantum Chemistry. Quantum Chemistry Symposium,Chemia,,
International Journal of Quantum Information,Fizyka,Informatyka,Fizyka matematyczna
International Journal of Research in Humanities and Social Sciences,Pedagogika,Filozofia,Językoznawstwo;Nauki społeczne
International Journal of Research in Teacher Education,Pedagogika,Językoznawstwo,Literaturoznawstwo;
International Journal of Social Economics,Ekonomia,,
International Journal of Software Engineering and Knowledge Engineering,Informatyka,Elektrotechnika,Elektronika;Sztuczna inteligencja;Inżynieria oprogramowania
"International Journal of Technology, Knowledge and Society",Dziennikarstwo i media,,
International Journal of Theoretical Physics,Fizyka,,
International Journal of Thermophysics,Mechanika,Fizyka,Chemia fizyczna;Termodynamika
International Journal of Toxicology,Farmacja,Toksykologia,
International Laboratory,Chemia,,
International Law Annual,,,
International Letters of Social and Humanistic Sciences,Nauki społeczne,Nauki humanistyczne,Językoznawstwo;Literaturoznawstwo
International Mathematics Research Notices,Matematyka,,
International Organization for Biological and Integrated Control,,,
International Permafrost Association Country Reports,,,
International Research Journal for Quality in Education,Multidyscyplinarny,,
International Research Journal of Finance and Economics,Ekonomia,Finanse,
International Review for the Sociology of Sport,Socjologia,Kutura fizyczna i sport,Turystyka
International Review of Comparative Public Policy,Nauki polityczne,,
International Review of Hydrobiology,Hydrobiologia,,
International Review of Law Computers & Technology,Informatyka,Technologia,
International Reviews in Physical Chemistry,Chemia fizyczna,Fizyka molekularna,Fizyka chemiczna
International Society on Toxinology Newsletter (Toxicon),Toksykologia,Farmacja,
International Sociology,Socjologia,,
International Sports Law Review,Prawo,,
International Transfer Pricing Journal,Prawo,Przedsiębiorstwo,
International VAT Monitor,Prawo,,
Internationale Schulbuchforschung,Nauki społeczne,Edukacja,
Internet Journal of Chemistry,Chemia,,
Internet: pierwszy polski magazyn użytkowników sieci Internet.,Informatyka,,
Interpreter and Translator Trainer,Językoznawstwo,,
Interstudia (Bacău),Językoznawstwo,Literaturoznawstwo,
Intertax: European tax review,Prawo,Podatki,
Inventiones Mathematicae,Matematyka,,
Investigative Ophthalmology & Visual Science,Okulistyka,,
Inwestycje i Budownictwo,Budownictwo,,
Inżynieria Biomateriałów,Biotechnologia,,
Inżynieria Chemiczna i Procesowa: kwartalnik poświęcony inżynierii chemicznej i procesowej ,Inżynieria chemiczna,,
Inżynieria Morska : miesięcznik naukowo-techniczny : organ Komitetu Naukowo-Technicznego ds. Gospodarki Morskiej NOT,Hydrotechnika,,
Ionics,Chemia fizyczna,Elektrochemia,Fizyka materii skondensowanej
Israel Journal of Ecology & Evolution,Ekologia,Biologia ewolucyjna,
Israel Journal of Mathematics,Matematyka,,
Istoriko-Pedagogični Studii,,,
ITD (Warszawa),Administracja,,
Itinerarios,Historia i archiwistyka,Etnologia,Filologia;Językoznawstwo;Literaturoznawstwo;Nauki polityczne
Ius Commune Zeitschrift für europäische,Prawo,,
Iustitia : pismo Stowarzyszenia Sędziów,Prawo,,
Jahrbuch / Deutsche Akademie für Sprache und Dichtung,Filologia,Językoznawstwo,Literaturoznawstwo
Jahrbuch der Karl-May-Gesellschaft,Literaturoznawstwo,,
Jahrbuch der Oswald von Wolkenstein Gesellschaft,Historia i archiwistyka,,
Jahrbuch der Schlesischen Friedrich-Wilhelms-Universität zu Breslau,Historia i archiwistyka,,
Jahrbuch des Bundesinstituts für Kultur und Geschichte der Deutschen im Östlichen Europa,Historia i archiwistyka,,
Jahrbuch des Wissenschaftlichen Zentrums der Polnischen Akademie der Wissenschaften in Wien,Nauki humanistyczne,Nauki przyrodnicze,Stosunki międzynarodowe
Jahrbuch für die Geschichte Mittel- und Ostdeutschlands,Historia i archiwistyka,,
Jahrbuch für europäische Geschichte,Historia i archiwistyka,Europa,
"Jahrbuch für Internationale Germanistik. Reihe B, Germanistische Dissertationen in Kurzfassung",Filologia,,
Jahrbuch für Ostrecht,Prawo,,
Jahrbuch für Regionalgeschichte,Historia i archiwistyka,,
Jahrbuch für Religionsphilosophie = Philosophy of religion annual,Reliogioznawstwa i teologia,Filozofia,
Jahrbuch für Universitätsgeschichte,Historia i archiwistyka,Nauka,
Jahrbuch Polen,Stosunki międzynarodowe,,
Jahrbuch zur Liberalismus-Forschung,Historia i archiwistyka,Nauki polityczne,
Jahrbücher für Geschichte Osteuropas,Historia i archiwistyka,Europa,
Jahrestagung / Litauisches Kulturinstitut,Kulturoznawstwo,,
"Jantarowe Szlaki: miesięczny informator Oddz. PTTK ""Trójmiasto"" ",Turystyka,,
Japanese Journal of Applied Physics,Fizyka stosowana,,
Japonica: czasopismo poświęcone cywilizacji japońskiej,Kulturoznawstwo,,
Jaskinie,Geologia,Turystyka,
Jednota: organ Polskiego Kościoła Ewangelicko-Reformowanego,Reliogioznawstwa i teologia,,
Jeta Arbëreshe,Emigracja i imigracja,,
Język Polski w Szkole dla klas IV-VI,Pedagogika,Edukacja,Nauki humanistyczne
"Język, Komunikacja, Informacja = Language Communication Information",Językoznawstwo,Komunikacja społeczna,Informacja
Jökull,Nauki przyrodnicze,,
Journal d'Analyse Mathématique,Matematyka,,
Journal de Mathématiques Pures et Appliquées,Matematyka,Matematyka stosowana,
Journal de Physique. I,Fizyka,,
Journal de Physique. IV,Fizyka,,
Journal des Astronomes Français,Astronomia,,
Journal for the Education of the Gifted,Psychologia,Edukacja,Pedagogika
Journal for the Sociological Integration of Religion and Society,Reliogioznawstwa i teologia,,
Journal für Begabtenförderung für eine begabungsfreundliche Lernkultur,Pedagogika,Edukacja,
Journal für die Reine und Angewandte Mathematik,Matematyka,,
Journal für praktische Chemie,Chemia,,
"Journal für praktische Chemie, Chemiker-Zeitung",Chemia,Chemia stosowana,
Journal of Adult and Continuing Education,Edukacja,,
Journal of Affective Disorders,Psychiatria,,
Journal of African Archaeology,Archeologia,,
Journal of Agricultural and Food Chemistry,Rolnictwo,Chemia stosowana,Technologia żywności i żywienia
Journal of Agricultural Science,Rolnictwo,,
"Journal of Agricultural, Food, and Environmental",Rolnictwo,Technologia żywności i żywienia,
Journal of Agrobiology,Rolnictwo,,
Journal of Algebra,Matematyka,,
Journal of Algebra and Its Applications,Matematyka,Matamatyka stosowana,
Journal of Algorithms,Matematyka stosowana,Informatyka,Logika
Journal of Alloys and Compounds,Chemia fizyczna,Hutnictwo i metalurgia,
Journal of Alternative Spiritualities and New Age,Reliogioznawstwa i teologia,,
Journal of Analytical and Applied Pyrolysis,Chemia analityczna,Spektroskopia,
Journal of Analytical and Bioanalytical Techniques,Chemia,,
Journal of Analytical Chemistry,Chemia analityczna,,
Journal of Animal and Veterinary Advances,Weterynaria,,
Journal of AOAC International,Chemia analityczna,Technologia żywności i żywienia,
Journal of Applied Botany = Angenwandte Botanik,Botanika,,
Journal of Applied Crystallography,Chemia,Krystalografia,
Journal of Applied Electrochemistry,Elektrochemia,,
Journal of Applied Ichthyology,Rybołóstwo,Hydrobiologia,
Journal of Applied Management Accounting Research,Rachunkowość,,
Journal of Applied Mathematics and Stochastic Analysis,Matematyka,,
Journal of Applied Microbiology,Biotechnologia,Mikrobiologia,
Journal of Applied Physics,Fizyka stosowana,,
Journal of Applied Physiology,Fizjologia,Kultura fizyczna i sport,
Journal of Applied Polymer Science,Polimery,,
Journal of Applied Probability,Statystyka i prawdopodobieństwo,,
Journal of Applied Statistics,Statystyka i prawdopodobieństwo,,
Journal of Archaeological Science,Nauka o Ziemi,,
Journal of Arthropod-Borne Diseases,Zdrowie i bezpieczeństwo publiczne,Parazytologia,
Journal of Artificial General Intelligence,Informatyka,,
Journal of Atmospheric and Oceanic Technology,Oceanografia,Meteorologia,
Journal of Avian Biology,Ornitologia,,
Journal of Basic Microbiology,Mikrobiologia,,
Journal of Belarusian Studies,Filologia,,
Journal of Biochemical and Biophysical Methods,Biochemia,Biofizyka,
Journal of Biogeography,Geografia fizyczna,Ekologia,
Journal of Biological Chemistry,Biochemia,Biologia molekularna,
Journal of Biological Inorganic Chemistry,Biochemia,Biologia molekularna,Chemia nieorganiczna;Chemia jądrowa
Journal of Biological Physics and Chemistry,Biochemia,Biofizyka,
Journal of Bioluminescence and Chemiluminescence,Biochemia,Biologia molekularna,
Journal of Biomedical Optics,Medycyna nuklearna,Optyka,Radiologia
Journal of Biomolecular Structure and Dynamics,Biochemia,Biofizyka,Biologia molekularna
Journal of Bioscience and Bioengineering,Biotechnologia,Technologia żywności i żywienia,Mikrobiologia
Journal of Biotechnology,Biotechnologia,Mikrobiologia,
Journal of Botany,Botanika,,
Journal of Breath Research,Układ oddechowy,Biochemia,
Journal of Business Management,Finanse,Biznes,
Journal of Catalysis,Chemia fizyczna,Inżynieria chemiczna,
Journal of Cataract and Refractive Surgery,Okulistyka,Chirurgia,
Journal of Cell Biology,Komórka biologiczna,,
Journal of Cellular Automata,Informatyka,Matematyka stosowana,
Journal of Cellular Biochemistry,Biochemia,Komórka biologiczna,
Journal of Chemical and Engineering Data,Chemia,Fizyka,Termodynamika;Inżynieria chemiczna
Journal of Chemical Information and Modeling,Chemia,Informatyka,Chemia medyczna
Journal of Chemical Physics,Chemia fizyczna,Fizyka molekularna,Fizyka chemiczna
