Title1,Title2,DisciplinesString
CURRENT OPINION IN OBSTETRICS & GYNECOLOGY,Current Opinion in Obstetrics and Gynecology,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
CURRENT OPINION IN ONCOLOGY,Current Opinion in Oncology,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
CURRENT OPINION IN OPHTHALMOLOGY,Current Opinion in Ophthalmology,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
Current Opinion in Organ Transplantation,Current Opinion in Organ Transplantation,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
Current Opinion in Otolaryngology & Head and Neck Surgery,Current Opinion in Otolaryngology and Head and Neck Surgery,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
CURRENT OPINION IN PEDIATRICS,Current Opinion in Pediatrics,nauki medyczne;nauki o zdrowiu;nauki biologiczne
CURRENT OPINION IN PHARMACOLOGY,Current Opinion in Pharmacology,nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
CURRENT OPINION IN PLANT BIOLOGY,Current Opinion in Plant Biology,nauki farmaceutyczne;nauki leśne;rolnictwo i ogrodnictwo;nauki biologiczne
CURRENT OPINION IN PSYCHIATRY,Current Opinion in Psychiatry,nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
Current Opinion in Psychology,Current Opinion in Psychology,nauki o kulturze fizycznej;psychologia
CURRENT OPINION IN PULMONARY MEDICINE,Current Opinion in Pulmonary Medicine,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu;weterynaria
CURRENT OPINION IN RHEUMATOLOGY,Current Opinion in Rheumatology,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE,Current Opinion in Solid State and Materials Science,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria materiałowa;inżynieria mechaniczna;nauki farmaceutyczne;nauki chemiczne;nauki fizyczne"
CURRENT OPINION IN STRUCTURAL BIOLOGY,Current Opinion in Structural Biology,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;nauki biologiczne;nauki chemiczne
Current Opinion in Supportive and Palliative Care,Current opinion in supportive and palliative care,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
CURRENT OPINION IN UROLOGY,Current Opinion in Urology,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
Current Opinion in Virology,Current Opinion in Virology,nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;weterynaria;nauki biologiczne
Current Optics and Photonics,Current Optics and Photonics,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;nauki fizyczne"
CURRENT ORGANIC CHEMISTRY,Current Organic Chemistry,inżynieria biomedyczna;inżynieria materiałowa;nauki farmaceutyczne;nauki chemiczne
CURRENT ORGANIC SYNTHESIS,Current Organic Synthesis,"inżynieria biomedyczna;inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;nauki biologiczne;nauki chemiczne"
Current Organocatalysis,Current Organocatalysis,inżynieria biomedyczna;inżynieria chemiczna;nauki farmaceutyczne;rolnictwo i ogrodnictwo;nauki chemiczne
Current Orthopaedic Practice,Current Orthopaedic Practice,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
Current Osteoporosis Reports,Current Osteoporosis Reports,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
Current Pain and Headache Reports,Current Pain and Headache Reports,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
Current Pediatric Reviews,Current Pediatric Reviews,nauki medyczne;nauki o zdrowiu
Current Pharmaceutical Analysis,Current Pharmaceutical Analysis,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;nauki chemiczne
CURRENT PHARMACEUTICAL BIOTECHNOLOGY,Current Pharmaceutical Biotechnology,inżynieria biomedyczna;inżynieria chemiczna;nauki farmaceutyczne;nauki medyczne;rolnictwo i ogrodnictwo;nauki biologiczne;nauki chemiczne
CURRENT PHARMACEUTICAL DESIGN,Current Pharmaceutical Design,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;technologia żywności i żywienia
Current Pollution Reports,,"architektura i urbanistyka;inżynieria środowiska, górnictwo i energetyka;nauki biologiczne"
CURRENT PROBLEMS IN CANCER,Current Problems in Cancer,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne;nauki chemiczne
CURRENT PROBLEMS IN CARDIOLOGY,Current Problems in Cardiology,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
Current Problems in Diagnostic Radiology,Current Problems in Diagnostic Radiology,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
Current Problems in Pediatric and Adolescent Health Care,Current Problems in Pediatric and Adolescent Health Care,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
CURRENT PROBLEMS IN SURGERY,Current Problems in Surgery,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;weterynaria
CURRENT PROTEIN & PEPTIDE SCIENCE,Current Protein and Peptide Science,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;technologia żywności i żywienia;nauki biologiczne;nauki chemiczne
Current Proteomics,Current Proteomics,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki leśne;rolnictwo i ogrodnictwo;technologia żywności i żywienia;nauki biologiczne;nauki chemiczne
Current Psychiatry Reports,Current Psychiatry Reports,nauki farmaceutyczne;nauki medyczne;nauki o kulturze fizycznej;nauki o zdrowiu
Current Psychiatry Reviews,Current Psychiatry Reviews,nauki farmaceutyczne;nauki medyczne;nauki o kulturze fizycznej;nauki o zdrowiu
CURRENT PSYCHOLOGY,Current Psychology,nauki o kulturze fizycznej;nauki o zdrowiu;nauki o zarządzaniu i jakości;psychologia
Current Pulmonology Reports,,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
Current Radiopharmaceuticals,Current Radiopharmaceuticals,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki chemiczne
Current Research in Social Psychology,Current Research in Social Psychology,nauki o kulturze fizycznej;nauki socjologiczne;psychologia
Current Research in Translational Medicine,Current Research in Translational Medicine,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne;nauki chemiczne
Current Respiratory Medicine Reviews,Current Respiratory Medicine Reviews,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
Current Reviews in Musculoskeletal Medicine,Current Reviews in Musculoskeletal Medicine,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
Current Rheumatology Reports,Current Rheumatology Reports,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
CURRENT SCIENCE,Current Science,"historia;architektura i urbanistyka;inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria materiałowa;inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne;nauki o zdrowiu;nauki leśne;rolnictwo i ogrodnictwo;nauki o zarządzaniu i jakości;nauki prawne;nauki biologiczne;nauki fizyczne"
CURRENT SOCIOLOGY,Current Sociology,nauki o zarządzaniu i jakości;nauki socjologiczne
Current Sports Medicine Reports,Current Sports Medicine Reports,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o kulturze fizycznej;nauki o zdrowiu
Current Stem Cell Research & Therapy,Current Stem Cell Research and Therapy,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;weterynaria;nauki biologiczne
Current Surgery Reports,,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
CURRENT THERAPEUTIC RESEARCH-CLINICAL AND EXPERIMENTAL,Current Therapeutic Research - Clinical and Experimental,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
CURRENT TOPICS IN MEDICINAL CHEMISTRY,Current Topics in Medicinal Chemistry,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;weterynaria;nauki chemiczne
Current Topics in Nutraceutical Research,Current Topics in Nutraceutical Research,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;technologia żywności i żywienia
Current Trauma Reports,Current Trauma Reports,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
Current Treatment Options in Neurology,Current Treatment Options in Neurology,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
CURRENT TREATMENT OPTIONS IN ONCOLOGY,Current Treatment Options in Oncology,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;weterynaria;nauki biologiczne;nauki chemiczne
Current Trends in Translation Teaching and Learning E,,językoznawstwo;językoznawstwo
Current Urology Reports,Current Urology Reports,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
Current Vascular Pharmacology,Current Vascular Pharmacology,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
Current Womens Health Reviews,Current Women's Health Reviews,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
Current Writing-Text and Reception in Southern Africa,Current Writing,literaturoznawstwo;literaturoznawstwo
Current Zoology,Current Zoology,nauki leśne;zootechnika i rybactwo;nauki biologiczne
Currents in Biblical Research,,nauki o kulturze i religii;nauki teologiczne
Currents in Pharmacy Teaching and Learning,Currents in Pharmacy Teaching and Learning,nauki farmaceutyczne;nauki medyczne
CURRICULUM INQUIRY,Curriculum Inquiry,nauki socjologiczne;nauki socjologiczne
Curriculum Journal,Curriculum Journal,nauki socjologiczne;pedagogika
Curriculum Matters,Curriculum Matters,architektura i urbanistyka;architektura i urbanistyka
Curved and Layered Structures,Curved and Layered Structures,"architektura i urbanistyka;inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka"
Custos e Agronegocio On Line,Custos e Agronegocio,rolnictwo i ogrodnictwo;rolnictwo i ogrodnictwo
Cutaneous and Ocular Toxicology,Cutaneous and Ocular Toxicology,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne;nauki chemiczne
CUTIS,Cutis,nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
CyberGeo-European Journal of Geography,CyberGeo,architektura i urbanistyka;geografia społeczno-ekonomiczna i gospodarka przestrzenna
Cybernetics and Information Technologies,Cybernetics and Information Technologies,architektura i urbanistyka;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;nauki o zarządzaniu i jakości;informatyka
CYBERNETICS AND SYSTEMS,Cybernetics and Systems,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;nauki o zarządzaniu i jakości;informatyka"
CYBERNETICS AND SYSTEMS ANALYSIS,Cybernetics and Systems Analysis,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;informatyka;matematyka
Cyberpsychology Behavior and Social Networking,"Cyberpsychology, Behavior, and Social Networking",informatyka techniczna i telekomunikacja;inżynieria biomedyczna;nauki farmaceutyczne;nauki o zdrowiu;nauki o komunikacji społecznej i mediach;nauki o zarządzaniu i jakości;nauki socjologiczne;pedagogika;psychologia
Cyberpsychology-Journal of Psychosocial Research on Cyberspace,Cyberpsychology,inżynieria biomedyczna;nauki o zdrowiu;nauki o komunikacji społecznej i mediach;nauki o zarządzaniu i jakości;nauki socjologiczne;pedagogika;psychologia
CYBIUM,Cybium,nauki biologiczne;nauki biologiczne
Cyprus Journal of Medical Sciences,,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
CyTA-Journal of Food,CYTA - Journal of Food,"inżynieria chemiczna;inżynieria materiałowa;inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;technologia żywności i żywienia"
CYTOGENETIC AND GENOME RESEARCH,Cytogenetic and Genome Research,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;weterynaria;zootechnika i rybactwo;nauki biologiczne
CytoJournal,CytoJournal,nauki medyczne;nauki o zdrowiu
CYTOKINE,Cytokine,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;weterynaria;zootechnika i rybactwo;nauki biologiczne;nauki chemiczne
CYTOKINE & GROWTH FACTOR REVIEWS,Cytokine and Growth Factor Reviews,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;nauki biologiczne
CYTOLOGIA,Cytologia,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;weterynaria;nauki biologiczne
Cytology and Genetics,Cytology and Genetics,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;technologia żywności i żywienia;weterynaria;zootechnika i rybactwo;nauki biologiczne
CYTOMETRY PART A,Cytometry Part A,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne;nauki chemiczne
CYTOMETRY PART B-CLINICAL CYTOMETRY,Cytometry Part B - Clinical Cytometry,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
CYTOPATHOLOGY,Cytopathology,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;weterynaria;nauki biologiczne
Cytoskeleton,Cytoskeleton,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;weterynaria;nauki biologiczne
CYTOTECHNOLOGY,Cytotechnology,"inżynieria biomedyczna;inżynieria materiałowa;inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;technologia żywności i żywienia;weterynaria;nauki biologiczne;nauki chemiczne"
CYTOTHERAPY,Cytotherapy,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
CZECH JOURNAL OF ANIMAL SCIENCE,Czech Journal of Animal Science,technologia żywności i żywienia;weterynaria;zootechnika i rybactwo
CZECH JOURNAL OF FOOD SCIENCES,Czech Journal of Food Sciences,inżynieria mechaniczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;technologia żywności i żywienia;weterynaria;zootechnika i rybactwo;nauki chemiczne
Czech Journal of Genetics and Plant Breeding,Czech Journal of Genetics and Plant Breeding,nauki farmaceutyczne;nauki o zdrowiu;nauki leśne;rolnictwo i ogrodnictwo;technologia żywności i żywienia;nauki biologiczne
CZECHOSLOVAK MATHEMATICAL JOURNAL,Czechoslovak Mathematical Journal,matematyka;matematyka
Czech-Polish Historical and Pedagogical Journal,,historia;architektura i urbanistyka;pedagogika
Dacoromania,Dacoromania,językoznawstwo;językoznawstwo
DADOS-REVISTA DE CIENCIAS SOCIAIS,Dados,nauki o polityce i administracji;nauki o zarządzaniu i jakości;nauki socjologiczne
DAEDALUS,Daedalus,filozofia;historia;literaturoznawstwo;nauki o kulturze i religii;nauki o sztuce;architektura i urbanistyka;nauki o polityce i administracji;nauki o zarządzaniu i jakości;nauki socjologiczne
Daimon-Revista Internacional de Filosofia,Daimon,filozofia;filozofia
Dairy Science & Technology,Dairy Science and Technology,rolnictwo i ogrodnictwo;technologia żywności i żywienia;weterynaria;zootechnika i rybactwo;nauki chemiczne
Dalhousie Journal of Interdisciplinary Management,,nauki o zarządzaniu i jakości;nauki o zarządzaniu i jakości
DALHOUSIE REVIEW,Dalhousie Review,literaturoznawstwo;literaturoznawstwo
DALTON TRANSACTIONS,Dalton Transactions,inżynieria materiałowa;nauki farmaceutyczne;rolnictwo i ogrodnictwo;nauki chemiczne
DANCE CHRONICLE,Dance Chronicle,nauki o kulturze i religii;nauki o sztuce;nauki o kulturze fizycznej
DANCE MAGAZINE,,nauki o kulturze i religii;nauki o sztuce;nauki o kulturze fizycznej
Dance Research,Dance Research,nauki o kulturze i religii;nauki o sztuce;nauki o kulturze fizycznej
DANCE RESEARCH JOURNAL,Dance Research Journal,nauki o kulturze i religii;nauki o sztuce;nauki o kulturze fizycznej
DANCING TIMES,,nauki o kulturze i religii;nauki o sztuce;nauki o kulturze fizycznej
Danish Medical Journal,Danish Medical Journal,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;weterynaria
Danza e Ricerca-Laboratorio di Studi Scritture Visioni,,nauki o kulturze i religii;nauki o sztuce
Dao-A Journal of Comparative Philosophy,Dao,filozofia;nauki o kulturze i religii
DAPHNIS-ZEITSCHRIFT FUR MITTLERE DEUTSCHE LITERATUR,Daphnis,literaturoznawstwo;literaturoznawstwo
DARU-Journal of Pharmaceutical Sciences,"DARU, Journal of Pharmaceutical Sciences",inżynieria biomedyczna;nauki farmaceutyczne;nauki o zdrowiu
Data,,architektura i urbanistyka;informatyka techniczna i telekomunikacja;nauki o zarządzaniu i jakości
DATA & KNOWLEDGE ENGINEERING,Data and Knowledge Engineering,architektura i urbanistyka;informatyka techniczna i telekomunikacja;nauki o zarządzaniu i jakości;informatyka
DATA BASE FOR ADVANCES IN INFORMATION SYSTEMS,Data Base for Advances in Information Systems,informatyka techniczna i telekomunikacja;nauki o zarządzaniu i jakości;informatyka
DATA MINING AND KNOWLEDGE DISCOVERY,Data Mining and Knowledge Discovery,architektura i urbanistyka;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;nauki o zarządzaniu i jakości;informatyka
Data Technologies and Applications,Data Technologies and Applications,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;nauki o zarządzaniu i jakości;informatyka
Database-The Journal of Biological Databases and Curation,Database : the journal of biological databases and curation,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki leśne;rolnictwo i ogrodnictwo;informatyka;nauki biologiczne;nauki chemiczne
DDS-Die Deutsche Schule,,nauki socjologiczne;pedagogika
De Arte,,literaturoznawstwo;nauki o sztuce;architektura i urbanistyka
De Computis-Revista Espanola de Historia de la Contabilidad,,ekonomia i finanse;nauki o zarządzaniu i jakości
De Jure,,nauki prawne;nauki prawne
De Medio Aevo,,historia;literaturoznawstwo;nauki teologiczne
Dead Sea Discoveries,Dead Sea Discoveries,historia;nauki o kulturze i religii;nauki teologiczne
Deafness & Education International,Deafness and Education International,nauki o kulturze i religii;inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu;pedagogika
Deakin Law Review,,nauki prawne;nauki prawne
Dearq-Revista de Arquitectura-Journal of Architecture,,architektura i urbanistyka;architektura i urbanistyka
DEATH STUDIES,Death Studies,historia;nauki o kulturze i religii;inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki socjologiczne
Debate Terminologico,,językoznawstwo;językoznawstwo
Debate Universitario,,nauki socjologiczne;pedagogika
Debates,,nauki o kulturze i religii;nauki o kulturze i religii
Debates en Sociologia,,nauki socjologiczne;nauki socjologiczne
Debats-Revista de Cultura Poder i Societat,,nauki o zdrowiu;nauki socjologiczne
Decision,Decision,informatyka techniczna i telekomunikacja;nauki o zdrowiu;ekonomia i finanse;nauki o zarządzaniu i jakości;nauki socjologiczne
Decision Analysis,Decision Analysis,informatyka techniczna i telekomunikacja;ekonomia i finanse;nauki o zarządzaniu i jakości
DECISION SCIENCES,Decision Sciences,informatyka techniczna i telekomunikacja;ekonomia i finanse;nauki o zarządzaniu i jakości
Decision Sciences-Journal of Innovative Education,Decision Sciences Journal of Innovative Education,architektura i urbanistyka;informatyka techniczna i telekomunikacja;ekonomia i finanse;nauki o bezpieczeństwie;nauki o zarządzaniu i jakości;pedagogika
DECISION SUPPORT SYSTEMS,Decision Support Systems,"historia;architektura i urbanistyka;automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;ekonomia i finanse;nauki o komunikacji społecznej i mediach;nauki o zarządzaniu i jakości;informatyka"
Decolonization-Indigeneity Education & Society,,nauki o zdrowiu;ekonomia i finanse;nauki o zarządzaniu i jakości;nauki socjologiczne
DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY,Deep-Sea Research Part II: Topical Studies in Oceanography,inżynieria lądowa i transport;nauki biologiczne;nauki o Ziemi i środowisku
DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS,Deep-Sea Research Part I: Oceanographic Research Papers,inżynieria lądowa i transport;nauki biologiczne;nauki o Ziemi i środowisku
DEFENCE AND PEACE ECONOMICS,Defence and Peace Economics,ekonomia i finanse;nauki o bezpieczeństwie;nauki o zarządzaniu i jakości
Defence and Security Analysis,Defense and Security Analysis,historia;architektura i urbanistyka;nauki o bezpieczeństwie
DEFENCE SCIENCE JOURNAL,Defence Science Journal,"historia;architektura i urbanistyka;automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria materiałowa;nauki farmaceutyczne;nauki o zdrowiu;nauki o bezpieczeństwie;nauki o zarządzaniu i jakości;nauki prawne;astronomia;nauki biologiczne;nauki chemiczne"
Defence Technology,Defence Technology,architektura i urbanistyka;inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria materiałowa;nauki o bezpieczeństwie
Degenerative Neurological and Neuromuscular Disease,,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
DEGRES-REVUE DE SYNTHESE A ORIENTATION SEMIOLOGIQUE,Degres,filozofia;historia;językoznawstwo;nauki o kulturze i religii;nauki socjologiczne
Deleuze and Guattari Studies,,filozofia;literaturoznawstwo
Deltion of the Christian Archaeological Society,,historia;nauki teologiczne
DEMENTIA AND GERIATRIC COGNITIVE DISORDERS,Dementia and Geriatric Cognitive Disorders,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
Dementia and Geriatric Cognitive Disorders Extra,Dementia and Geriatric Cognitive Disorders Extra,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
Dementia-International Journal of Social Research and Practice,Dementia,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
Democracy & Security,Democracy and Security,historia;nauki o bezpieczeństwie;nauki o polityce i administracji;nauki o zarządzaniu i jakości;nauki prawne;nauki socjologiczne
Democratic Theory-An Interdisciplinary Journal,Democratic Theory,filozofia;historia;nauki o polityce i administracji;nauki socjologiczne
Democratization,Democratization,historia;architektura i urbanistyka;nauki o polityce i administracji
Demografie,Demografie,historia;nauki o zdrowiu;ekonomia i finanse;geografia społeczno-ekonomiczna i gospodarka przestrzenna;nauki socjologiczne
Demographic Research,Demographic Research,historia;nauki o zdrowiu;ekonomia i finanse;geografia społeczno-ekonomiczna i gospodarka przestrzenna;nauki socjologiczne;nauki biologiczne
DEMOGRAPHY,Demography,historia;nauki o zdrowiu;ekonomia i finanse;geografia społeczno-ekonomiczna i gospodarka przestrzenna;nauki socjologiczne;nauki biologiczne
Demonstratio Mathematica,Demonstratio Mathematica,matematyka;matematyka
Dendrobiology,Dendrobiology,nauki farmaceutyczne;nauki leśne;rolnictwo i ogrodnictwo;nauki biologiczne
DENDROCHRONOLOGIA,Dendrochronologia,archeologia;architektura i urbanistyka;nauki leśne;rolnictwo i ogrodnictwo;nauki biologiczne;nauki o Ziemi i środowisku
DENKMALPFLEGE,,architektura i urbanistyka;architektura i urbanistyka
Dental and Medical Problems,Dental and Medical Problems,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
Dental Cadmos,Dental Cadmos,nauki medyczne;nauki medyczne
Dental Hypotheses,Dental Hypotheses,nauki medyczne;nauki medyczne
DENTAL MATERIALS,Dental Materials,inżynieria biomedyczna;inżynieria materiałowa;inżynieria mechaniczna;nauki farmaceutyczne;nauki medyczne;nauki chemiczne
DENTAL MATERIALS JOURNAL,Dental Materials Journal,inżynieria biomedyczna;inżynieria materiałowa;inżynieria mechaniczna;nauki farmaceutyczne;nauki medyczne;nauki chemiczne
DENTAL TRAUMATOLOGY,Dental Traumatology,nauki medyczne;nauki medyczne
DENTOMAXILLOFACIAL RADIOLOGY,Dentomaxillofacial Radiology,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu;weterynaria
Denver Law Review,Denver Law Review,nauki prawne;nauki prawne
Dependence Modeling,Dependence Modeling,inżynieria biomedyczna;nauki o zarządzaniu i jakości;nauki socjologiczne;matematyka
Depositional Record,,nauki o Ziemi i środowisku;nauki o Ziemi i środowisku
DEPRESSION AND ANXIETY,Depression and Anxiety,nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;psychologia
Derecho Penal y Criminologia,,nauki prawne;nauki prawne
Derecho y Ciencias Sociales,,nauki prawne;nauki prawne
Derechos y Libertades,,nauki prawne;nauki prawne
Dermatitis,Dermatitis,nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
Dermato-Endocrinology,Dermato-Endocrinology,nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
DERMATOLOGIC CLINICS,Dermatologic Clinics,nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
DERMATOLOGIC SURGERY,Dermatologic Surgery,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu;weterynaria
Dermatologic Therapy,Dermatologic Therapy,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;weterynaria
Dermatologica Sinica,Dermatologica Sinica,nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
Dermatologie in Beruf und Umwelt,Dermatologie in Beruf und Umwelt,nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
DERMATOLOGY,Dermatology,nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki chemiczne
Dermatology and Therapy,Dermatology and Therapy,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
Dermatology Reports,Dermatology Reports,nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
Dermatology Research and Practice,Dermatology Research and Practice,nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
Dermatopathology,,nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
Derrida Today,,filozofia;literaturoznawstwo
Desafios,,historia;nauki o polityce i administracji
DESALINATION,Desalination,"inżynieria biomedyczna;inżynieria chemiczna;inżynieria lądowa i transport;inżynieria materiałowa;inżynieria środowiska, górnictwo i energetyka;rolnictwo i ogrodnictwo;technologia żywności i żywienia;nauki chemiczne"
Desalination and Water Treatment,Desalination and Water Treatment,"inżynieria biomedyczna;inżynieria chemiczna;inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka;rolnictwo i ogrodnictwo;nauki chemiczne"
Desde el Jardin de Freud-Revista de Psicoanalisis,,psychologia;psychologia
Desenvolvimento e Meio Ambiente,,"inżynieria środowiska, górnictwo i energetyka;geografia społeczno-ekonomiczna i gospodarka przestrzenna"
DESIDOC Journal of Library & Information Technology,DESIDOC Journal of Library and Information Technology,nauki o komunikacji społecznej i mediach;nauki o zarządzaniu i jakości
Design and Culture,Design and Culture,nauki o kulturze i religii;nauki o sztuce;architektura i urbanistyka;nauki socjologiczne
