Title1,Title2,DisciplineIdsString
International Business Review,International Business Review,506
International Cancer Conference Journal,International Cancer Conference Journal,204 301 302 304 604
International Cardiovascular Research Journal,International Cardiovascular Research Journal,204 302 304
International Circular of Graphic Education and Research,,204
INTERNATIONAL CLINICAL PSYCHOPHARMACOLOGY,International Clinical Psychopharmacology,301 302 304
International Communication Gazette,International Communication Gazette,106 504
INTERNATIONAL COMMUNICATIONS IN HEAT AND MASS TRANSFER,International Communications in Heat and Mass Transfer,204 205 207 208 209 301 403 605 606
International Community Law Review,International Community Law Review,103 503 507 510
International Criminal Justice Review,International Criminal Justice Review,503 507 508
International Criminal Law Review,International Criminal Law Review,103 503 507
International Critical Thought,,103 505
INTERNATIONAL DAIRY JOURNAL,International Dairy Journal,301 402 403 404 405
International Data Privacy Law,,503 507
INTERNATIONAL DENTAL JOURNAL,International Dental Journal,302
INTERNATIONAL DEVELOPMENT PLANNING REVIEW,International Development Planning Review,201 209 502 506
INTERNATIONAL ECONOMIC REVIEW,International Economic Review,501 502 506
International Education Journal-Comparative Perspectives,International Education Journal,509
International E-Journal of Criminal Sciences,,507
International Electronic Journal of Algebra,International Electronic Journal of Algebra,603
International Electronic Journal of Geometry,,603
International Emergency Nursing,International Emergency Nursing,304
INTERNATIONAL ENDODONTIC JOURNAL,International Endodontic Journal,302 304
International Energy Journal,International Energy Journal,209 401 605
International Entrepreneurship and Management Journal,International Entrepreneurship and Management Journal,501 504 506
International Environmental Agreements-Politics Law and Economics,"International Environmental Agreements: Politics, Law and Economics",103 209 501 502 503 505 507
International Feminist Journal of Politics,International Feminist Journal of Politics,103 106 304 505 508
International Finance,International Finance,501
International Food and Agribusiness Management Review,International Food and Agribusiness Management Review,402 403 506
International Food Research Journal,International Food Research Journal,301 302 304 402 403 405
INTERNATIONAL FORESTRY REVIEW,International Forestry Review,201 209 401 402 503 604
International Forum of Allergy & Rhinology,International Forum of Allergy and Rhinology,301 302 304
International Forum of Psychoanalysis,International Forum of Psychoanalysis,302 304 511
International Gambling Studies,International Gambling Studies,303 304 511
International Game Theory Review,International Game Theory Review,203 204 501 506 602 603
INTERNATIONAL GEOLOGY REVIEW,International Geology Review,206 607
International Health,International Health,204 301 302 304 404 503
International Heart Journal,International Heart Journal,204 301 302 304
INTERNATIONAL HISTORY REVIEW,International History Review,103 505
INTERNATIONAL IMMUNOLOGY,International Immunology,204 301 302 304 404 604
INTERNATIONAL IMMUNOPHARMACOLOGY,International Immunopharmacology,204 301 302 304 404 604 605
International Indigenous Policy Journal,,103 508
International Insolvency Review,International Insolvency Review,501 507
INTERNATIONAL INTERACTIONS,International Interactions,103 106 503 505
INTERNATIONAL JOURNAL,International Journal,103 505
International Journal  of Electric and Hybrid Vehicles,International Journal of Electric and Hybrid Vehicles,202 206 209 605
International Journal for Academic Development,International Journal for Academic Development,509
International Journal for Computational Methods in Engineering Science & Mechanics,International Journal of Computational Methods in Engineering Science and Mechanics,202 203 206 207 208 602
International Journal for Crime Justice and Social Democracy,"International Journal for Crime, Justice and Social Democracy",507 508
International Journal for Educational and Vocational Guidance,International Journal for Educational and Vocational Guidance,509
International Journal for Educational Integrity,International Journal for Educational Integrity,304 506 509
International Journal for Equity in Health,International Journal for Equity in Health,301 304
International Journal for Ion Mobility Spectrometry,International Journal for Ion Mobility Spectrometry,202 204 207 301 605 606
International Journal for Lesson and Learning Studies,International Journal for Lesson and Learning Studies,509
International Journal for Multiscale Computational Engineering,International Journal for Multiscale Computational Engineering,202 203 204 205 206 207 208 209 602
INTERNATIONAL JOURNAL FOR NUMERICAL AND ANALYTICAL METHODS IN GEOMECHANICS,International Journal for Numerical and Analytical Methods in Geomechanics,203 204 206 207 209 301
International Journal for Numerical Methods in Biomedical Engineering,International Journal for Numerical Methods in Biomedical Engineering,202 203 204 206 207 208 301 303 304 602 604
INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,International Journal for Numerical Methods in Engineering,201 202 203 204 205 206 207 208 209 602
INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS,International Journal for Numerical Methods in Fluids,203 204 206 207 208 209 606
INTERNATIONAL JOURNAL FOR PARASITOLOGY,International Journal for Parasitology,301 302 304 401 404 405 604
International Journal for Parasitology-Drugs and Drug Resistance,International Journal for Parasitology: Drugs and Drug Resistance,301 302 304 404 604
International Journal for Parasitology-Parasites and Wildlife,International Journal for Parasitology: Parasites and Wildlife,301 304 401 404 604
INTERNATIONAL JOURNAL FOR PHILOSOPHY OF RELIGION,International Journal for Philosophy of Religion,102 106 510 701
INTERNATIONAL JOURNAL FOR QUALITY IN HEALTH CARE,International Journal for Quality in Health Care,204 301 302 304 404 506
International Journal for Quality Research,International Journal for Quality Research,208 506
International Journal for Technology in Mathematics Education,International Journal for Technology in Mathematics Education,204 509
International Journal for the History of Engineering & Technology,International Journal for the History of Engineering and Technology,102 103 201 204 206 208 209 503
International Journal for the Psychology of Religion,The International Journal for the Psychology of Religion,106 510 511
INTERNATIONAL JOURNAL FOR THE SEMIOTICS OF LAW-REVUE INTERNATIONALE DE SEMIOTIQUE JURIDIQUE,International Journal for the Semiotics of Law,104 507
International Journal for the Study of New Religions,International Journal for the Study of New Religions,106 510
International Journal for the Study of Skepticism,International Journal for the Study of Skepticism,102
International Journal for the Study of the Christian Church,International journal for the Study of the Christian Church,106 510 701
International Journal for Uncertainty Quantification,International Journal for Uncertainty Quantification,202 203 204 206 208 209 501 603
INTERNATIONAL JOURNAL FOR VITAMIN AND NUTRITION RESEARCH,International Journal for Vitamin and Nutrition Research,204 301 302 303 304 403 404 604
INTERNATIONAL JOURNAL OF ACAROLOGY,International Journal of Acarology,401 402 604
International Journal of Accounting,International Journal of Accounting,506
International Journal of Accounting and Information Management,International Journal of Accounting and Information Management,504 506
International Journal of Accounting Information Systems,International Journal of Accounting Information Systems,203 504 506
International Journal of Acoustics and Vibration,International Journal of Acoustics and Vibrations,202 204 206 208 209 606
International Journal of Ad Hoc and Ubiquitous Computing,International Journal of Ad Hoc and Ubiquitous Computing,202 203 602
INTERNATIONAL JOURNAL OF ADAPTIVE CONTROL AND SIGNAL PROCESSING,International Journal of Adaptive Control and Signal Processing,202 203 204 208
INTERNATIONAL JOURNAL OF ADHESION AND ADHESIVES,International Journal of Adhesion and Adhesives,204 205 206 207 208 301 401 605
International Journal of Adolescence and Youth,International Journal of Adolescence and Youth,301 304 509 511
International Journal of Adult Vocational Education and Technology,,509
International Journal of Advanced and Applied Sciences,,202 204 205 206 207 208 209 301 304 402 403 404 506 507 601 604 605 606
International Journal of Advanced Computer Science and Applications,International Journal of Advanced Computer Science and Applications,203 204 602
INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,International Journal of Advanced Manufacturing Technology,202 204 206 207 208
International Journal of Advanced Robotic Systems,International Journal of Advanced Robotic Systems,202 204 206 208 602
International Journal of Advances in Engineering Sciences and Applied Mathematics,,203 204 206 208 209
International Journal of Advertising,International Journal of Advertising,504 506
International Journal of Aeroacoustics,International Journal of Aeroacoustics,202 206 207 208 209 606
International Journal of Aeronautical and Space Sciences,International Journal of Aeronautical and Space Sciences,202 204 207 208 503
International Journal of Aerospace Engineering,International Journal of Aerospace Engineering,202 206 208
International Journal of AEROSPACE Psychology,,511
INTERNATIONAL JOURNAL OF AFRICAN HISTORICAL STUDIES,The International journal of African historical studies,103 106
International Journal of African Renaissance Studies,International Journal of African Renaissance Studies,103 106
INTERNATIONAL JOURNAL OF AGING & HUMAN DEVELOPMENT,International Journal of Aging and Human Development,204 301 302 303 304 509 511 604
International Journal of Agricultural and Biological Engineering,International Journal of Agricultural and Biological Engineering,204 206 208 301 402 403 404 604
International Journal of Agricultural and Statistical Sciences,International Journal of Agricultural and Statistical Sciences,208 402 403 404 501
International Journal of Agricultural Sustainability,International Journal of Agricultural Sustainability,201 208 402 403 501
INTERNATIONAL JOURNAL OF AGRICULTURE AND BIOLOGY,International Journal of Agriculture and Biology,204 208 209 301 402 403 404 405 604
International Journal of Agronomy,International Journal of Agronomy,402
International Journal of Air-Conditioning and Refrigeration,International Journal of Air-Conditioning and Refrigeration,208 209 605
International Journal of Alcohol and Drug Research,,301 509
INTERNATIONAL JOURNAL OF ALGEBRA AND COMPUTATION,International Journal of Algebra and Computation,203 602 603
International Journal of Ambient Computing and Intelligence,International Journal of Ambient Computing and Intelligence,203 602
International Journal of Ambient Energy,International Journal of Ambient Energy,201 206 208 209 605
INTERNATIONAL JOURNAL OF AMERICAN LINGUISTICS,International Journal of American Linguistics,104
International Journal of Analysis,,603
International Journal of Analysis and Applications,,603
International Journal of Analytical Chemistry,International Journal of Analytical Chemistry,204 207 301 402 403 605
International Journal of Angiology,International Journal of Angiology,204 302 304
International Journal of Antennas and Propagation,International Journal of Antennas and Propagation,202 203 204
INTERNATIONAL JOURNAL OF ANTIMICROBIAL AGENTS,International Journal of Antimicrobial Agents,204 301 302 304 402 404 604 605
International Journal of Applied Behavioral Economics,,501 506
International Journal of Applied Ceramic Technology,International Journal of Applied Ceramic Technology,204 205 206 207 208 605
International Journal of Applied Earth Observation and Geoinformation,International Journal of Applied Earth Observation and Geoinformation,202 206 209 401 402 502 607
INTERNATIONAL JOURNAL OF APPLIED ELECTROMAGNETICS AND MECHANICS,International Journal of Applied Electromagnetics and Mechanics,202 204 206 207 208 606
International Journal of Applied Exercise Physiology,,303 304 404
International Journal of Applied Geospatial Research,International Journal of Applied Geospatial Research,201 206 209 502 607
International Journal of Applied Glass Science,International Journal of Applied Glass Science,204 207 208 606
International Journal of Applied Linguistics,International Journal of Applied Linguistics,104
International Journal of Applied Mathematics & Statistics,,203 501 603
International Journal of Applied Mathematics and Computer Science,International Journal of Applied Mathematics and Computer Science,202 203 204 206 208 209 602 603
International Journal of Applied Mechanics,International Journal of Applied Mechanics,204 206 207 208 605 606
International Journal of Applied Metaheuristic Computing,International Journal of Applied Metaheuristic Computing,202 203 204 602
International Journal of Applied Nonlinear Science,,202 203 208 603
International Journal of Applied Pattern Recognition,,201 202 203 602
International Journal of Applied Psychoanalytic Studies,International Journal of Applied Psychoanalytic Studies,511
International Journal of Applied Research in Veterinary Medicine,International Journal of Applied Research in Veterinary Medicine,404 405
INTERNATIONAL JOURNAL OF APPROXIMATE REASONING,International Journal of Approximate Reasoning,202 203 204 602
International Journal of Architectural Computing,International Journal of Architectural Computing,201 203 204 206 209 602
International Journal of Architectural Heritage,International Journal of Architectural Heritage,101 106 107 201 206 401
INTERNATIONAL JOURNAL OF ART & DESIGN EDUCATION,International Journal of Art and Design Education,201 509
International Journal of Artificial Intelligence in Education,International Journal of Artificial Intelligence in Education,202 203 204 509 602
INTERNATIONAL JOURNAL OF ARTIFICIAL ORGANS,International Journal of Artificial Organs,202 204 207 208 301 302 304 402
International Journal of Arts and Technology,International Journal of Arts and Technology,107 201 203 204 602
International Journal of Arts Management,International Journal of Arts Management,107 506
International Journal of Asia Pacific Studies,International Journal of Asia-Pacific Studies,106 304 501 505
International Journal of Asian Business and Information Management,International Journal of Asian Business and Information Management,204 506
International Journal of Asian Studies,International Journal of Asian Studies,103 106 304 505 508
International Journal of Assessment Tools in Education,,509
International Journal of Astrobiology,International Journal of Astrobiology,204 206 402 601 604
International Journal of Athletic Therapy & Training,International Journal of Athletic Therapy and Training,204 302 303 304
INTERNATIONAL JOURNAL OF AUDIOLOGY,International Journal of Audiology,104 204 302 304 509 604
International Journal of Auditing,International Journal of Auditing,506
International Journal of Automation and Computing,International Journal of Automation and Computing,202 203 204 206 208 209 602
International Journal of Automation and Control,International Journal of Automation and Control,202 203 204 207 208 602
International Journal of Automotive And Mechanical Engineering,International Journal of Automotive and Mechanical Engineering,202 204 206 208
INTERNATIONAL JOURNAL OF AUTOMOTIVE TECHNOLOGY,International Journal of Automotive Technology,202 204 206 208
International Journal of Aviation Aeronautics and Aerospace,"International Journal of Aviation, Aeronautics, and Aerospace",202 204 206 208
International Journal of Ayurvedic Medicine,,204 301 302 304
International Journal of Bank Marketing,International Journal of Bank Marketing,506
INTERNATIONAL JOURNAL OF BEHAVIORAL DEVELOPMENT,International Journal of Behavioral Development,201 301 302 304 501 506 511 604
INTERNATIONAL JOURNAL OF BEHAVIORAL MEDICINE,International Journal of Behavioral Medicine,301 302 303 304
International Journal of Behavioral Nutrition and Physical Activity,International Journal of Behavioral Nutrition and Physical Activity,204 301 302 303 304 402 403 604
INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS,International Journal of Bifurcation and Chaos in Applied Sciences and Engineering,202 204 206 207 208 402 506 507 601 603
International Journal of Bilingual Education and Bilingualism,International Journal of Bilingual Education and Bilingualism,104 509
International Journal of Bilingualism,International Journal of Bilingualism,104 509
INTERNATIONAL JOURNAL OF BIOCHEMISTRY & CELL BIOLOGY,International Journal of Biochemistry and Cell Biology,204 301 302 304 402 403 404 604 605
International Journal of Bio-Inspired Computation,International Journal of Bio-Inspired Computation,203 204 602
INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES,International Journal of Biological Macromolecules,204 207 301 302 401 403 404 405 604 605
INTERNATIONAL JOURNAL OF BIOLOGICAL MARKERS,International Journal of Biological Markers,204 301 302 304 402 404 604 605
International Journal of Biological Sciences,International Journal of Biological Sciences,204 301 302 304 402 403 404 604
International Journal of Biomaterials,International Journal of Biomaterials,202 204 205 207 208 301 302 604
International Journal of Biomathematics,International Journal of Biomathematics,203 204 301 602 603 604
International Journal of Biomedical Engineering and Technology,International Journal of Biomedical Engineering and Technology,203 204 207 208 301 304
International Journal of Biomedical Imaging,International Journal of Biomedical Imaging,202 203 204 301 302 304
International Journal of Biomedicine,,204 301 302 304 604
INTERNATIONAL JOURNAL OF BIOMETEOROLOGY,International Journal of Biometeorology,204 209 301 303 304 401 402 604 605 607
International Journal of Biometrics,International Journal of Biometrics,202 203 204 602 603
International Journal of Bioprinting,International Journal of Bioprinting,204 207 301 304 402 404 604 605
International Journal of Biostatistics,International Journal of Biostatistics,203 204 301 302 303 304 603 604
International Journal of Bipolar Disorders,,302 304
International Journal of Breast Cancer,International Journal of Breast Cancer,204 301 302 304 404 604 605
International Journal of Bridge Engineering,,206
International Journal of Buddhist Thought & Culture,,106
International Journal of Building Pathology and Adaptation,International Journal of Building Pathology and Adaptation,206 209 401
International Journal of Built Environment and Sustainability,,106 201 206 209 502 506
International Journal of Burns and Trauma,,302 304
International Journal of Business,International Journal of Business,506
International Journal of Business Analytics,International Journal of Business Analytics,506
International Journal of Business and Society,International Journal of Business and Society,501 506
International Journal of Business Communication,International Journal of Business Communication,504 506
International Journal of Business Data Communications and Networking,International Journal of Business Data Communications and Networking,203 506 602
International Journal of Business Environment,International Journal of Business Environment,203 506
International Journal of Business Performance Management,International Journal of Business Performance Management,506
International Journal of Canadian Studies,,105 106 508
INTERNATIONAL JOURNAL OF CANCER,International Journal of Cancer,204 301 302 304 604
International Journal of Cancer Management,International Journal of Cancer Management,204 301 302 304 404 604
INTERNATIONAL JOURNAL OF CARDIOLOGY,International Journal of Cardiology,204 301 302 304 403 404
INTERNATIONAL JOURNAL OF CARDIOVASCULAR IMAGING,International Journal of Cardiovascular Imaging,204 302 304
International Journal of Care Coordination,International Journal of Care Coordination,302 304 506
INTERNATIONAL JOURNAL OF CAST METALS RESEARCH,International Journal of Cast Metals Research,204 206 207 208
International Journal of Central Banking,International Journal of Central Banking,501 506
International Journal of Chemical Engineering,International Journal of Chemical Engineering,204 205 207 208 209 301 402 403 605
INTERNATIONAL JOURNAL OF CHEMICAL KINETICS,International Journal of Chemical Kinetics,204 205 209 301 304 402 604 605
International Journal of Chemical Reactor Engineering,International Journal of Chemical Reactor Engineering,204 205 605
International Journal of Child Care and Education Policy,International Journal of Child Care and Education Policy,304 509
International Journal of Child Health and Nutrition,,302 304 403
International Journal of Child Youth & Family Studies,,106 304 508 509
International Journal of Childbirth,,304
International Journal of Childbirth Education,,304 509
International Journal of Childrens Rights,International Journal of Children's Rights,103 304 509 510
International Journal of Childrens Spirituality,International Journal of Children's Spirituality,102 106 510 701
International Journal of Chinese Linguistics,,104
International Journal of Christianity & Education,International Journal of Christianity and Education,106 201 509 510 701
International Journal of Chronic Obstructive Pulmonary Disease,International Journal of COPD,204 301 302 304 404
INTERNATIONAL JOURNAL OF CIRCUIT THEORY AND APPLICATIONS,International Journal of Circuit Theory and Applications,202 204 207 602
International Journal of Circumpolar Health,International Journal of Circumpolar Health,204 301 302 304
International Journal of Civil Engineering,International Journal of Civil Engineering,201 206
International Journal of Climate Change Strategies and Management,International Journal of Climate Change Strategies and Management,201 209 401 402 502 506 607
INTERNATIONAL JOURNAL OF CLIMATOLOGY,International Journal of Climatology,209 401 402 607
INTERNATIONAL JOURNAL OF CLINICAL AND EXPERIMENTAL HYPNOSIS,International Journal of Clinical and Experimental Hypnosis,302 304 511
International Journal of Clinical and Experimental Medicine,,204 301 302 304
International Journal of Clinical and Experimental Pathology,,204 301 302 304 404 604
International Journal of Clinical and Health Psychology,International Journal of Clinical and Health Psychology,301 304 511
International Journal of Clinical Oncology,International Journal of Clinical Oncology,204 301 302 304 404 604
INTERNATIONAL JOURNAL OF CLINICAL PHARMACOLOGY AND THERAPEUTICS,International Journal of Clinical Pharmacology and Therapeutics,301 302 304 404
International Journal of Clinical Pharmacy,International Journal of Clinical Pharmacy,301 302 304 404
INTERNATIONAL JOURNAL OF CLINICAL PRACTICE,International Journal of Clinical Practice,204 301 302 304 404
International Journal of Clothing Science and Technology,International Journal of Clothing Science and Technology,204 205 207 605
International Journal of Cloud Applications and Computing,,203 204 602
INTERNATIONAL JOURNAL OF COAL GEOLOGY,International Journal of Coal Geology,206 209 402 605 607
International Journal of Coal Preparation and Utilization,International Journal of Coal Preparation and Utilization,204 205 206 208 209 605
International Journal of Cognitive Informatics and Natural Intelligence,International Journal of Cognitive Informatics and Natural Intelligence,201 202 203 204 506 602
International Journal of Cognitive Therapy,International Journal of Cognitive Therapy,301 302 303 304 511
INTERNATIONAL JOURNAL OF COLORECTAL DISEASE,International Journal of Colorectal Disease,204 302 304
International Journal of Combinatorial Optimization Problems and Informatics,,203 506 602
International Journal of Communication,International Journal of Communication,106 504 506 509
International Journal of Communication Networks and Distributed Systems,International Journal of Communication Networks and Distributed Systems,201 203 506 602
INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS,International Journal of Communication Systems,203 204 602
International Journal of Community Music,International Journal of Community Music,106 107
International Journal of Comparative and Applied Criminal Justice,International Journal of Comparative and Applied Criminal Justice,503 507 508
International Journal of Comparative Education and Development,International Journal of Comparative Education and Development,509
International Journal of Comparative Labour Law and Industrial Relations,International Journal of Comparative Labour Law and Industrial Relations,208 503 506 507
INTERNATIONAL JOURNAL OF COMPARATIVE SOCIOLOGY,International Journal of Comparative Sociology,304 506 508
International Journal of Computational Economics and Econometrics,International Journal of Computational Economics and Econometrics,203 501 506
INTERNATIONAL JOURNAL OF COMPUTATIONAL FLUID DYNAMICS,International Journal of Computational Fluid Dynamics,204 205 206 207 208 209 605 606
International Journal of Computational Intelligence and Applications,International Journal of Computational Intelligence and Applications,202 203 204 208 602
International Journal of Computational Intelligence Systems,International Journal of Computational Intelligence Systems,202 203 204 602
International Journal of Computational Materials Science and Engineering,,204 207 208 301 606
International Journal of Computational Methods,International Journal of Computational Methods,202 203 204 205 206 208 209 602
International Journal of Computational Science and Engineering,International Journal of Computational Science and Engineering,202 203 204 206 208 209 602 606
INTERNATIONAL JOURNAL OF COMPUTER APPLICATIONS IN TECHNOLOGY,International Journal of Computer Applications in Technology,201 202 203 204 207 208 506 602
International Journal of Computer Assisted Radiology and Surgery,International Journal of Computer Assisted Radiology and Surgery,203 204 207 302 304 404 602
International Journal of Computer Games Technology,International Journal of Computer Games Technology,203 204 602
INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,International Journal of Computer Integrated Manufacturing,202 203 204 206 208 506 602
INTERNATIONAL JOURNAL OF COMPUTER MATHEMATICS,International Journal of Computer Mathematics,203 204 602 603
International Journal of Computer Science and Network Security,,503 602
INTERNATIONAL JOURNAL OF COMPUTER VISION,International Journal of Computer Vision,201 202 203 204 208 602
International Journal of Computer-Assisted Language Learning and Teaching,International Journal of Computer-Assisted Language Learning and Teaching,104 202 203 204 509 602
International Journal of Computerized Dentistry,International Journal of Computerized Dentistry,204 301 302
International Journal of Computers Communications & Control,"International Journal of Computers, Communications and Control",202 203 204 506 602
International Journal of Computer-Supported Collaborative Learning,International Journal of Computer-Supported Collaborative Learning,203 204 504 506 509 602
International Journal of Computing Science and Mathematics,International Journal of Computing Science and Mathematics,202 203 204 205 206 208 602 603
International Journal of Concrete Structures and Materials,International Journal of Concrete Structures and Materials,201 204 206 207
International Journal of Conflict and Violence,International Journal of Conflict and Violence,103 106 503 505 507 508
INTERNATIONAL JOURNAL OF CONFLICT MANAGEMENT,International Journal of Conflict Management,504 506 508 511
International Journal of Conservation Science,International Journal of Conservation Science,101 106 201 209 401 402
International Journal of Construction Management,International Journal of Construction Management,201 206 208 209 503 506
International Journal of Consumer Studies,International Journal of Consumer Studies,403 506
International Journal of Contemporary Economics and Administrative Sciences,,501 506
International Journal of Contemporary Hospitality Management,International Journal of Contemporary Hospitality Management,303 506
International Journal of Continuing Engineering Education and Life-Long Learning,International Journal of Continuing Engineering Education and Life-Long Learning,201 203 204 206 209 509
INTERNATIONAL JOURNAL OF CONTROL,International Journal of Control,202 203 204 208
INTERNATIONAL JOURNAL OF CONTROL AUTOMATION AND SYSTEMS,"International Journal of Control, Automation and Systems",202 203 204 208 503
INTERNATIONAL JOURNAL OF COOPERATIVE INFORMATION SYSTEMS,International Journal of Cooperative Information Systems,203 204 506 602
International Journal of Corpus Linguistics,International Journal of Corpus Linguistics,104 203
International Journal of Corrosion,International Journal of Corrosion,204 205 207 208 605
International Journal of Corrosion and Scale Inhibition,International Journal of Corrosion and Scale Inhibition,204 207 208 605
INTERNATIONAL JOURNAL OF COSMETIC SCIENCE,International Journal of Cosmetic Science,204 205 301 402 403 605
INTERNATIONAL JOURNAL OF CRASHWORTHINESS,International Journal of Crashworthiness,201 204 206 207
International Journal of Criminal Justice Sciences,International Journal of Criminal Justice Sciences,503 507 508
International Journal of Critical Infrastructure Protection,International Journal of Critical Infrastructure Protection,201 203 206 503
International Journal of Critical Infrastructures,International Journal of Critical Infrastructures,201 203 206 209 402 503
International Journal of Cross Cultural Management,International Journal of Cross Cultural Management,103 106 201 503 506 508 510
International Journal of Cuban Studies,,106 505
International Journal of Cultural Policy,International Journal of Cultural Policy,105 106 503 505 506 508
International Journal of Cultural Property,International Journal of Cultural Property,101 103 106 107 201 503 506
International Journal of Cultural Studies,International Journal of Cultural Studies,105 106 502 504 506 508
International Journal of Culture Tourism and Hospitality Research,"International Journal of Culture, Tourism, and Hospitality Research",106 201 303 502 506 508
International Journal of Cyber Criminology,International Journal of Cyber Criminology,503 507 508
International Journal of Cyber Warfare and Terrorism,,103
INTERNATIONAL JOURNAL OF DAIRY TECHNOLOGY,International Journal of Dairy Technology,205 207 301 402 403 404 405 605
INTERNATIONAL JOURNAL OF DAMAGE MECHANICS,International Journal of Damage Mechanics,204 206 207 208 606
International Journal of Data Mining and Bioinformatics,International Journal of Data Mining and Bioinformatics,203 204 301 304 402 404 504 602 604 605
International Journal of Data Mining Modelling and Management,"International Journal of Data Mining, Modelling and Management",203 204 208 209 506 602
International Journal of Data Warehousing and Mining,International Journal of Data Warehousing and Mining,203 204 506 602
International Journal of Decision Support System Technology,International Journal of Decision Support System Technology,202 203 204 209 506 602
International Journal of Dental Hygiene,International Journal of Dental Hygiene,302
International Journal of Dentistry,International Journal of Dentistry,302
INTERNATIONAL JOURNAL OF DERMATOLOGY,International Journal of Dermatology,301 302 304
International Journal of Design,International Journal of Design,201 204 206 207 208 209 506
International Journal of Design Creativity and Innovation,International Journal of Design Creativity and Innovation,201 204 208 301 506
INTERNATIONAL JOURNAL OF DEVELOPMENTAL BIOLOGY,International Journal of Developmental Biology,301 302 402 404 405 604
International Journal of Developmental Disabilities,International Journal of Developmental Disabilities,204 302 304 509 511
INTERNATIONAL JOURNAL OF DEVELOPMENTAL NEUROSCIENCE,International Journal of Developmental Neuroscience,204 301 302 304 404 604
International Journal of Diabetes in Developing Countries,International Journal of Diabetes in Developing Countries,204 302 304 604
International Journal of Differential Equations,International Journal of Differential Equations,203 603
International Journal of Digital Crime and Forensics,International Journal of Digital Crime and Forensics,203 204 602
International Journal of Digital Earth,International Journal of Digital Earth,201 203 204 206 602 607
International Journal of Digital Multimedia Broadcasting,International Journal of Digital Multimedia Broadcasting,203 204 504 602
International Journal of Digital Television,International Journal of Digital Television,106 504
International Journal of Disability Development and Education,"International Journal of Disability, Development and Education",106 201 204 301 303 304 508 509 511
International Journal of Disaster Recovery and Business Continuity,,503 506
International Journal of Disaster Resilience in the Built Environment,International Journal of Disaster Resilience in the Built Environment,201 206 209 503
International Journal of Disaster Risk Reduction,International Journal of Disaster Risk Reduction,201 206 209 503 506 607
International Journal of Disaster Risk Science,International Journal of Disaster Risk Science,201 209 502 503 506 607
International Journal of Disclosure and Governance,International Journal of Disclosure and Governance,501 506
International Journal of Discrimination and the Law,International Journal of Discrimination and the Law,507 508
International Journal of Distance Education Technologies,International Journal of Distance Education Technologies,203 204 509 602
International Journal of Distributed Sensor Networks,International Journal of Distributed Sensor Networks,202 203 204 206 208 209 602
International Journal of Distributed Systems and Technologies,International Journal of Distributed Systems and Technologies,202 203 602
INTERNATIONAL JOURNAL OF DRUG POLICY,International Journal of Drug Policy,204 301 302 304
International Journal of Dynamical Systems and Differential Equations,International Journal of Dynamical Systems and Differential Equations,202 203 204 206 208 209 603
International Journal of E-Adoption,,504
International Journal of Early Childhood Special Education,International Journal of Early Childhood Special Education,509 511
International Journal of Early Years Education,International Journal of Early Years Education,509
INTERNATIONAL JOURNAL OF EARTH SCIENCES,International Journal of Earth Sciences,206 209 502 601 607
INTERNATIONAL JOURNAL OF EATING DISORDERS,International Journal of Eating Disorders,301 302 304 509
International Journal of E-Business Research,International Journal of e-Business Research,203 204 504 506 602
International Journal of e-Collaboration,International Journal of e-Collaboration,203 204 506 602
International Journal of Ecological Economics & Statistics,,501 502 506
International Journal of Ecology & Development,,201 206 401 402 403 604
International Journal of Economic Sciences,,501 502 506
International Journal of Economic Theory,International Journal of Economic Theory,501 502 506
International Journal of Economics Management and Accounting,,501 502 506
International Journal of Ecosystems and Ecology Science-IJEES,,201 209 401 402 604 607
International Journal of Education and Information Technologies,,203 509
International Journal of Education and the Arts,,105 201 509
International Journal of Education in Mathematics Science and Technology,"International Journal of Education in Mathematics, Science and Technology",509 603
International Journal of Education through Art,International Journal of Education Through Art,106 201 509
INTERNATIONAL JOURNAL OF EDUCATIONAL DEVELOPMENT,International Journal of Educational Development,106 506 509
International Journal of Educational Leadership and Management,,506 509
International Journal of Educational Management,International Journal of Educational Management,506 509
International Journal of Educational Psychology,International Journal of Educational Psychology,511
International Journal of Educational Research,International Journal of Educational Research,106 201 509
International Journal of Educational Sciences,,509
International Journal of Educational Technology in Higher Education,International Journal of Educational Technology in Higher Education,201 204 509
International Journal of E-Health and Medical Communications,International Journal of E-Health and Medical Communications,203 204 302 304 602
International Journal of Electrical and Computer Engineering Systems,International Journal of Electrical and Computer Engineering Systems,202 203 204 602
INTERNATIONAL JOURNAL OF ELECTRICAL ENGINEERING EDUCATION,International Journal of Electrical Engineering Education,202 204
INTERNATIONAL JOURNAL OF ELECTRICAL POWER & ENERGY SYSTEMS,International Journal of Electrical Power and Energy Systems,202 209 605
International Journal of Electrochemical Science,International Journal of Electrochemical Science,204 205 207 209 301 605
International Journal of Electrochemistry,,204 205 207 301 605
