Title1,Title2,Humanities,Tech,Medical,Farm,Social,Science,Religion,Arts
ENVIRONMENTAL AND EXPERIMENTAL BOTANY,Environmental and Experimental Botany,0,2,1,2,0,1,0,0
ENVIRONMENTAL AND MOLECULAR MUTAGENESIS,Environmental and Molecular Mutagenesis,0,2,3,2,0,2,0,0
Environmental and Planning Law Journal,Environmental and Planning Law Journal,0,2,0,1,2,0,0,0
ENVIRONMENTAL ARCHAEOLOGY,Environmental Archaeology,1,2,0,1,0,1,0,0
ENVIRONMENTAL BIOLOGY OF FISHES,Environmental Biology of Fishes,0,1,0,2,0,1,0,0
Environmental Chemistry,Environmental Chemistry,0,4,1,2,0,2,0,0
Environmental Chemistry Letters,Environmental Chemistry Letters,0,4,1,1,0,2,0,0
Environmental Communication-A Journal of Nature and Culture,Environmental Communication,1,2,0,1,1,1,0,0
ENVIRONMENTAL CONSERVATION,Environmental Conservation,0,2,1,2,2,3,0,0
Environmental Development,Environmental Development,0,3,0,2,2,2,0,0
Environmental Earth Sciences,Environmental Earth Sciences,0,3,0,2,0,3,0,0
Environmental Economics and Policy Studies,Environmental Economics and Policy Studies,0,1,0,1,3,0,0,0
Environmental Education Research,Environmental Education Research,0,2,0,0,1,0,0,0
Environmental Engineering and Management Journal,Environmental Engineering and Management Journal,0,4,0,1,1,1,0,0
Environmental Engineering Research,Environmental Engineering Research,0,5,0,2,0,0,0,0
ENVIRONMENTAL ENGINEERING SCIENCE,Environmental Engineering Science,0,6,0,1,0,0,0,0
ENVIRONMENTAL ENTOMOLOGY,Environmental Entomology,0,1,0,2,0,1,0,0
ENVIRONMENTAL ETHICS,Environmental Ethics,1,2,0,1,1,1,0,0
ENVIRONMENTAL FLUID MECHANICS,Environmental Fluid Mechanics,0,4,0,1,0,1,0,0
ENVIRONMENTAL FORENSICS,Environmental Forensics,0,1,0,1,1,3,0,0
ENVIRONMENTAL GEOCHEMISTRY AND HEALTH,Environmental Geochemistry and Health,0,3,3,2,0,2,0,0
Environmental Geotechnics,Environmental Geotechnics,0,2,0,1,0,0,0,0
Environmental Hazards-Human and Policy Dimensions,Environmental Hazards,0,1,1,2,0,2,0,0
Environmental Health,Environmental Health: A Global Access Science Source,0,0,3,2,0,2,0,0
Environmental Health and Preventive Medicine,Environmental Health and Preventive Medicine,0,1,3,1,0,0,0,0
Environmental Health Insights,,0,0,3,0,0,0,0,0
ENVIRONMENTAL HEALTH PERSPECTIVES,Environmental Health Perspectives,0,1,3,2,0,2,0,0
ENVIRONMENTAL HISTORY,Environmental History,2,1,0,2,1,1,0,0
Environmental Humanities,,1,0,0,0,1,0,0,0
ENVIRONMENTAL IMPACT ASSESSMENT REVIEW,Environmental Impact Assessment Review,0,2,1,1,2,1,0,0
Environmental Innovation and Societal Transitions,Environmental Innovation and Societal Transitions,0,2,1,1,3,1,0,0
Environmental Justice,Environmental Justice,0,0,2,1,2,1,0,0
ENVIRONMENTAL MANAGEMENT,Environmental Management,0,3,0,2,3,2,0,0
ENVIRONMENTAL MICROBIOLOGY,Environmental Microbiology,0,3,3,4,0,1,0,0
Environmental Microbiology Reports,Environmental Microbiology Reports,0,3,2,4,0,1,0,0
ENVIRONMENTAL MODELING & ASSESSMENT,Environmental Modeling and Assessment,0,2,0,2,1,2,0,0
ENVIRONMENTAL MODELLING & SOFTWARE,Environmental Modelling and Software,0,4,0,1,0,2,0,0
ENVIRONMENTAL MONITORING AND ASSESSMENT,Environmental Monitoring and Assessment,0,4,3,4,1,3,0,0
Environmental Policy and Governance,Environmental Policy and Governance,0,2,0,1,4,0,0,0
ENVIRONMENTAL POLITICS,Environmental Politics,1,2,0,2,2,1,0,0
ENVIRONMENTAL POLLUTION,Environmental Pollution,0,5,3,5,0,3,0,0
Environmental Practice,Environmental Practice,0,2,0,1,0,1,0,0
Environmental Processes-An International Journal,Environmental Processes,0,4,2,1,0,3,0,0
Environmental Progress & Sustainable Energy,Environmental Progress and Sustainable Energy,0,5,1,2,1,1,0,0
ENVIRONMENTAL RESEARCH,Environmental Research,0,4,3,3,0,2,0,0
Environmental Research Letters,Environmental Research Letters,0,1,3,2,0,2,0,0
ENVIRONMENTAL REVIEWS,Environmental Reviews,1,1,0,2,0,2,0,0
ENVIRONMENTAL SCIENCE & POLICY,Environmental Science and Policy,1,2,0,2,3,2,0,0
ENVIRONMENTAL SCIENCE & TECHNOLOGY,Environmental Science & Technology,0,7,1,2,0,2,0,0
Environmental Science & Technology Letters,,0,3,2,0,0,2,0,0
ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,Environmental Science and Pollution Research,0,6,2,5,0,3,0,0
Environmental Science-Nano,Environmental Science: Nano,0,5,1,1,0,2,0,0
Environmental Science-Processes & Impacts,Environmental Sciences: Processes and Impacts,0,3,2,1,0,3,0,0
Environmental Sciences Europe,Environmental Sciences Europe,0,3,0,1,0,2,0,0
Environmental Science-Water Research & Technology,Environmental Science: Water Research and Technology,0,4,0,1,0,2,0,0
Environmental Sociology,Environmental Sociology,0,2,0,1,2,0,0,0
ENVIRONMENTAL TECHNOLOGY,Environmental Technology (United Kingdom),0,5,2,1,0,2,0,0
Environmental Technology & Innovation,Environmental Technology and Innovation,0,5,1,1,0,1,0,0
ENVIRONMENTAL TOXICOLOGY,Environmental Toxicology,0,2,3,5,0,2,0,0
ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,Environmental Toxicology and Chemistry,0,1,3,4,0,2,0,0
ENVIRONMENTAL TOXICOLOGY AND PHARMACOLOGY,Environmental Toxicology and Pharmacology,0,1,3,2,0,1,0,0
ENVIRONMENTAL VALUES,Environmental Values,2,2,0,1,3,2,0,0
Environments,,0,2,0,1,0,0,0,0
ENVIRONMETRICS,Environmetrics,0,3,0,2,0,2,0,0
Environnement Risques & Sante,"Environnement, Risques et Sante",0,1,3,1,0,1,0,0
ENZYME AND MICROBIAL TECHNOLOGY,Enzyme and Microbial Technology,0,4,3,3,0,2,0,0
EPE Journal,EPE Journal (European Power Electronics and Drives Journal),0,2,0,0,0,0,0,0
Epekeina-International Journal of Ontology History and Critics,,2,0,0,0,0,0,0,0
Ephemerides Theologicae Lovanienses,Ephemerides Theologicae Lovanienses,2,0,0,0,1,0,1,0
Epidemics,Epidemics,0,1,3,1,0,1,0,0
Epidemiologia & Prevenzione,Epidemiologia e prevenzione,0,1,3,0,0,0,0,0
Epidemiologia e Servicos de Saude,,0,0,3,0,0,0,0,0
EPIDEMIOLOGIC REVIEWS,Epidemiologic Reviews,0,1,3,1,0,0,0,0
EPIDEMIOLOGIE MIKROBIOLOGIE IMUNOLOGIE,"Epidemiologie, Mikrobiologie, Imunologie",0,1,3,1,0,1,0,0
EPIDEMIOLOGY,Epidemiology,0,1,3,2,0,0,0,0
Epidemiology and Health,Epidemiology and health,0,1,3,1,0,0,0,0
EPIDEMIOLOGY AND INFECTION,Epidemiology and Infection,0,1,3,1,0,1,0,0
Epidemiology and Psychiatric Sciences,Epidemiology and Psychiatric Sciences,0,1,3,0,0,0,0,0
Epidemiology Biostatistics and Public Health,Epidemiology Biostatistics and Public Health,0,1,3,0,0,0,0,0
Epigenetics,Epigenetics,0,1,3,3,0,1,0,0
Epigenetics & Chromatin,Epigenetics and Chromatin,0,1,3,3,0,1,0,0
Epigenomics,Epigenomics,0,1,3,3,0,1,0,0
Epijournal de Geometrie Algebrique,,0,0,0,0,0,1,0,0
Epilepsi,,0,1,2,0,0,0,0,0
EPILEPSIA,Epilepsia,0,1,3,0,0,1,0,0
EPILEPSY & BEHAVIOR,Epilepsy and Behavior,0,1,3,1,1,1,0,0
Epilepsy & Behavior Case Reports,Epilepsy and Behavior Case Reports,0,1,2,0,0,1,0,0
Epilepsy Currents,Epilepsy Currents,0,1,3,0,0,0,0,0
EPILEPSY RESEARCH,Epilepsy Research,0,1,3,0,0,1,0,0
EPILEPTIC DISORDERS,Epileptic Disorders,0,1,3,0,0,1,0,0
EPISODES,Episodes,0,1,0,0,0,1,0,0
Episteme-A Journal of Individual and Social Epistemology,Episteme,1,0,0,0,1,0,0,0
Epistemology & Philosophy of Science-Epistemologiya i Filosofiya Nauki,Epistemology and Philosophy of Science,1,0,0,0,0,0,0,0
Epitoanyag-Journal of Silicate Based and Composite Materials,,0,3,1,0,0,0,0,0
EPJ Applied Metamaterials,EPJ Applied Metamaterials,0,3,1,0,0,2,0,0
EPJ Data Science,EPJ Data Science,0,2,0,0,0,2,0,0
EPJ Nonlinear Biomedical Physics,,0,1,0,0,0,1,0,0
EPJ Nuclear Sciences & Technologies,,0,1,0,0,0,1,0,0
EPJ Photovoltaics,EPJ Photovoltaics,0,4,0,0,0,2,0,0
EPJ Quantum Technology,,0,2,0,0,0,1,0,0
EPJ Techniques and Instrumentation,,0,4,1,0,0,1,0,0
EPL,Europhysics Letters,0,2,0,0,0,2,0,0
EPMA Journal,EPMA Journal,0,1,3,0,0,0,0,0
E-POLYMERS,E-Polymers,0,5,1,0,0,1,0,0
Eptic,,0,0,0,0,1,0,0,0
EQA-International Journal of Environmental Quality,,0,2,0,0,0,2,0,0
Equality Diversity and Inclusion,"Equality, Diversity and Inclusion",1,0,1,0,2,0,0,0
Equidad & Desarrollo,,0,0,0,0,1,0,0,0
Equilibrium-Quarterly Journal of Economics and Economic Policy,,0,0,0,0,4,0,0,0
EQUINE VETERINARY EDUCATION,Equine Veterinary Education,0,0,0,2,0,0,0,0
EQUINE VETERINARY JOURNAL,Equine Veterinary Journal,0,1,2,2,0,0,0,0
Equity & Excellence in Education,Equity & Excellence in Education,0,0,0,0,1,0,0,0
Eras,,1,0,0,0,0,0,0,0
Erasmo-Revista de Historia Bajomedieval y Moderna,,2,0,0,0,0,0,0,0
Erasmus Studies,Erasmus of Rotterdam Society Yearbook,3,0,0,0,0,0,1,0
ERCIM News,,0,1,0,0,0,1,0,0
Erciyes Medical Journal,Erciyes Medical Journal,0,1,3,0,0,0,0,0
ERDE,Die Erde,0,2,0,1,1,1,0,0
Erdkunde,Erdkunde,0,2,0,2,1,1,0,0
ERGODIC THEORY AND DYNAMICAL SYSTEMS,Ergodic Theory and Dynamical Systems,0,1,0,0,0,1,0,0
ERGONOMICS,Ergonomics,0,3,3,1,1,0,0,0
Ergonomics in Design,Ergonomics in Design,0,4,0,1,1,0,0,0
Eria-Revista cuatrimestral de Geografia,,0,0,0,0,1,0,0,0
ERKENNTNIS,Erkenntnis,1,0,0,0,2,0,0,0
Ermeneutica Letteraria-Rivista Internazionale,,1,0,0,0,0,0,0,0
ERNAHRUNGS UMSCHAU,Ernahrungs Umschau,0,1,1,1,0,0,0,0
e-rph-Revista electronica de Patrimonio Historico,,3,0,0,0,0,0,0,0
Erwerbs-Obstbau,Erwerbs-Obstbau,0,0,0,1,0,0,0,0
ESA BULLETIN-EUROPEAN SPACE AGENCY,European Space Agency Bulletin,0,1,0,0,0,1,0,0
ESAIM-CONTROL OPTIMISATION AND CALCULUS OF VARIATIONS,"ESAIM - Control, Optimisation and Calculus of Variations",0,3,0,0,0,1,0,0
ESAIM-MATHEMATICAL MODELLING AND NUMERICAL ANALYSIS-MODELISATION MATHEMATIQUE ET ANALYSE NUMERIQUE,ESAIM: Mathematical Modelling and Numerical Analysis,0,4,0,0,0,2,0,0
ESAIM-Probability and Statistics,ESAIM - Probability and Statistics,0,0,0,0,2,1,0,0
ESC Heart Failure,ESC heart failure,0,1,2,0,0,0,0,0
E-Scrita-Revista do Curso de Letras da UNIABEU,,2,0,0,0,0,0,0,0
Escritura e Imagen,,3,0,0,0,0,0,0,0
Esercizi Filosofici,,1,0,0,0,0,0,0,0
ESIC Market,,0,0,0,0,1,0,0,0
Eskisehir Osmangazi Universitesi IIBF Dergisi-Eskisehir Osmangazi University Journal of Economics and Administrative Sciences,,0,0,0,0,2,0,0,0
Eslavistica Complutense,,3,0,0,0,0,0,0,0
ESMO Open,,0,1,3,0,0,1,0,0
Esophagus,Esophagus,0,1,2,0,0,0,0,0
ESP Today-Journal of English for Specific Purposes at Tertiary Level,ESP Today,1,0,0,0,0,0,0,0
Espace Politique,,0,0,0,0,1,0,0,0
Espaces-Populations-Societes,Espace-Populations-Societes,1,1,1,0,3,0,0,0
Espacio Abierto,,0,0,0,0,5,0,0,0
Espacio Tiempo y Educacion,"Espacio, Tiempo y Educacion",1,1,0,0,1,0,0,0
Espacio Tiempo y Forma Serie VII-Historia del Arte,,1,1,0,0,0,0,0,0
Espacio Tiempo y Forma-Serie III-Historia Medieval,"Espacio, Tiempo y Forma, Serie III: Historia Medieval",1,0,0,0,0,0,0,0
Espacios en Blanco-Serie Indagaciones,,0,1,0,0,0,0,0,0
Espana Medieval,,2,0,0,0,0,0,0,0
E-Spania-Revue Electronique d etudes Hispaniques Medievales,,2,0,0,0,0,0,0,0
Especulo-Revista de Estudios Literarios,,1,0,0,0,0,0,0,0
Espiral-Cuadernos del Profesorado,,0,0,0,0,2,0,0,0
Espiritu,Espiritu,1,0,0,0,1,0,1,0
Espressivamente,,3,0,0,0,0,0,0,0
ESPRIT,Esprit,5,0,0,0,2,0,1,0
ESPRIT CREATEUR,Esprit Createur,1,0,0,0,0,0,0,0
ESQ-A JOURNAL OF THE AMERICAN RENAISSANCE,ESQ - Journal of the American Renaissance,1,0,0,0,0,0,0,0
ESSAYS IN CRITICISM,Essays in Criticism,1,0,0,0,0,0,0,0
Essays in French Literature and Culture,,1,0,0,0,0,0,0,0
Estacao Cientifica-UNIFAP,,1,4,2,1,2,1,0,0
Estetika-The Central European Journal of Aesthetics,Estetika : The Central European Journal of Aesthetics,3,1,0,0,0,0,0,0
Estoa-Revista de la Facultad de Arquitectura y Urbanismo de la Universidad de Cuenca,,0,1,0,0,0,0,0,0
Estonian Journal of Archaeology,Estonian Journal of Archaeology,1,1,0,0,0,0,0,0
Estonian Journal of Earth Sciences,Estonian Journal of Earth Sciences,0,2,0,2,0,1,0,0
ESTRENO-CUADERNOS DEL TEATRO ESPANOL CONTEMPORANEO,Estreno,2,0,0,0,0,0,0,0
Estuaries and Coasts,Estuaries and Coasts,0,2,0,1,0,2,0,0
ESTUARINE COASTAL AND SHELF SCIENCE,"Estuarine, Coastal and Shelf Science",0,1,0,0,0,2,0,0
Estudios Atacamenos,Estudios Atacamenos,3,0,0,0,0,0,0,0
Estudios Avanzados,,1,0,0,0,0,0,0,0
Estudios de Asia y Africa,Estudios de Asia y Africa,3,0,0,0,2,0,0,0
Estudios de Cultura Maya,Estudios de Cultura Maya,3,1,0,0,0,0,0,0
Estudios de Derecho,,0,0,0,0,1,0,0,0
Estudios de Economia,Estudios de Economia,0,0,0,0,1,0,0,0
Estudios de Economia Aplicada,,0,0,0,0,1,0,0,0
Estudios de Historia de Espana,,1,0,0,0,0,0,0,0
Estudios de Historia Moderna y Contemporanea de Mexico,Estudios de Historia Moderna Contemporanea de Mexico,1,0,0,0,0,0,0,0
Estudios de Historia Novohispana,,1,0,0,0,0,0,0,0
Estudios de Linguistica-Universidad de Alicante-ELUA,,1,0,0,0,0,0,0,0
Estudios de Literatura Colombiana,Estudios de Literatura Colombiana,1,0,0,0,0,0,0,0
Estudios de Psicologia,Estudios de Psicologia,0,0,0,0,1,0,0,0
Estudios de Teoria Literaria-Revista Digital-Artes Letras Humanidades,Estudios de Teoria Literaria,2,0,0,0,0,0,0,0
Estudios de Traduccion,,2,0,0,0,0,0,0,0
Estudios del Desarrollo Social-Cuba y America Latina,,1,0,0,0,1,0,0,0
Estudios del Habitat,,0,1,0,0,0,0,0,0
Estudios Demograficos y Urbanos,Estudios demograficos y urbanos,1,1,0,0,2,0,0,0
ESTUDIOS FILOLOGICOS,Estudios Filologicos,2,0,0,0,0,0,0,0
Estudios Fronterizos,,0,0,0,0,1,0,0,0
Estudios Geograficos,Estudios Geograficos,0,3,0,0,1,1,0,0
ESTUDIOS GEOLOGICOS-MADRID,Estudios Geologicos,0,2,0,0,0,1,0,0
Estudios Gerenciales,,0,0,0,0,1,0,0,0
Estudios Historicos,,2,0,0,0,0,0,0,0
Estudios Irlandeses,Estudios Irlandeses,3,1,0,0,0,0,0,0
Estudios Romanicos,Estudios Romanicos,2,0,0,0,0,0,0,0
Estudios Sobre Educacion,Estudios Sobre Educacion,0,0,0,0,2,0,0,0
Estudios Sociales-Revista Universitaria Semestral,,1,0,0,0,0,0,0,0
Estudios Socioterritoriales,,0,1,0,0,1,0,0,0
Estudios-Centro de Estudios Avanzados-Universidad Nacional de Cordoba,,2,4,2,1,2,2,0,0
Estudos de Linguistica Galega,Estudos de Linguistica Galega,1,0,0,0,0,0,0,0
Estudos de Literatura Brasileira Contemporanea,Estudos de Literatura Brasileira Contemporanea,1,0,0,0,0,0,0,0
Estudos de Religiao,,1,0,0,0,1,0,1,0
ESTUDOS IBERO-AMERICANOS,Estudos Ibero-Americanos,3,0,0,0,0,0,0,0
Estudos Teologicos,,0,0,0,0,1,0,1,0
ETD Educacao Tematica Digital,,0,0,0,0,2,0,0,0
Ethical Perspectives,Ethical Perspectives,1,0,0,0,1,0,0,0
Ethical Theory and Moral Practice,Ethical Theory and Moral Practice,1,0,1,0,3,0,0,0
ETHICS,Ethics,1,0,1,0,1,0,0,0
ETHICS & BEHAVIOR,Ethics and Behavior,1,0,1,0,3,0,0,0
Ethics & Global Politics,Ethics and Global Politics,2,0,0,0,2,0,0,0
Ethics & International Affairs,Ethics and International Affairs,2,0,0,0,2,0,0,0
Ethics & Social Welfare,Ethics & Social Welfare,1,0,0,0,3,0,0,0
Ethics and Education,Ethics and Education,2,1,0,0,1,0,0,0
Ethics and Information Technology,Ethics and Information Technology,1,1,0,0,2,1,0,0
Ethics and the Environment,Ethics and the Environment,1,1,0,1,0,1,0,0
Ethics Policy & Environment,"Ethics, Policy and Environmnet",1,2,0,1,2,0,0,0
Ethik in der Medizin,Ethik in der Medizin,1,0,3,0,0,0,0,0
Ethiopian Journal of Health Development,Ethiopian Journal of Health Development,0,0,3,0,0,0,0,0
Ethiopian Journal of Health Sciences,Ethiopian journal of health sciences,0,1,3,0,0,0,0,0
ETHNIC AND RACIAL STUDIES,Ethnic and Racial Studies,2,0,0,0,2,0,0,0
Ethnicities,Ethnicities,2,1,0,0,1,0,0,0
ETHNICITY & DISEASE,Ethnicity and Disease,1,1,3,0,0,0,0,0
ETHNICITY & HEALTH,Ethnicity and Health,2,0,3,0,1,0,0,0
Ethnoarchaeology,Ethnoarchaeology,3,0,0,0,0,1,0,0
Ethnobiology and Conservation,Ethnobiology and Conservation,1,0,1,2,0,1,0,0
Ethnobiology Letters,Ethnobiology Letters,1,1,1,1,0,1,0,0
Ethnography,Ethnography,2,1,0,0,1,0,0,0
Ethnography and Education,Ethnography and Education,1,0,0,0,1,0,0,0
ETHNOHISTORY,Ethnohistory,3,0,0,0,0,0,0,0
Ethnologia Scandinavica,,2,0,0,0,1,0,0,0
Ethnologies,,2,0,0,0,1,0,0,0
ETHNOMUSICOLOGY,Ethnomusicology,2,0,0,0,2,0,0,0
Ethnomusicology Forum,Ethnomusicology Forum,2,0,0,0,0,0,0,0
Ethnopolitics,Ethnopolitics,2,0,0,0,3,0,0,0
Ethnorema,,2,0,0,0,1,0,0,0
ETHNOS,Ethnos,2,1,0,0,1,0,0,0
ETHOLOGY,Ethology,0,1,0,1,0,1,0,0
ETHOLOGY ECOLOGY & EVOLUTION,Ethology Ecology and Evolution,0,1,0,1,0,1,0,0
ETHOS,Ethos,3,0,0,0,3,0,0,0
Etic net-Revista Cientifica Electronica de Educacion y Comunicacion en la Sociedad del Conocimiento,,0,0,0,0,2,0,0,0
Etica & Cine,,3,0,0,0,0,0,0,0
Etica & Politica,Etica e Politica,1,0,0,0,2,0,0,0
Etikk i Praksis,Etikk i Praksis,1,0,0,0,1,0,0,0
Etnoantropoloski Problemi-Issues in Ethnology and Anthropology,,2,0,0,0,1,0,0,0
Etnoloska Tribina,Etnoloska Tribina,2,0,0,0,0,0,0,0
ETR&D-EDUCATIONAL TECHNOLOGY RESEARCH AND DEVELOPMENT,Educational Technology Research and Development,0,0,0,0,1,0,0,0
ETRI JOURNAL,ETRI Journal,0,3,0,0,0,0,0,0
ETUDES ANGLAISES,Etudes Anglaises,1,0,0,0,0,0,0,0
ETUDES CLASSIQUES,Etudes Classiques,3,0,0,0,0,0,0,0
Etudes Episteme,,1,0,0,0,0,0,0,0
ETUDES FRANCAISES,Etudes Francaises,1,0,0,0,0,0,0,0
ETUDES GERMANIQUES,Etudes Germaniques,1,0,0,0,0,0,0,0
ETUDES INTERNATIONALES,,0,0,0,0,1,0,0,0
Etudes Inuit Studies,Etudes / Inuit / Studies,2,0,0,0,2,0,0,0
ETUDES LITTERAIRES,,1,0,0,0,0,0,0,0
ETUDES PHILOSOPHIQUES,Etudes Philosophiques,1,0,0,0,0,0,0,0
Etudes Ricoeuriennes-Ricoeur Studies,,0,0,0,0,5,0,0,0
ETUDES THEOLOGIQUES ET RELIGIEUSES,Etudes Theologiques et Religieuses,1,0,0,0,1,0,1,0
Eugene O Neill Review,Eugene O'Neill Review,1,0,0,0,0,0,0,0
EUPHORION-ZEITSCHRIFT FUR LITERATURGESCHICHTE,Euphorion - Zeitschrift fur Literaturgeschichte,1,0,0,0,0,0,0,0
Euphrosyne-Revista de Filologia Classica,Euphrosyne,3,0,0,0,0,0,0,0
EUPHYTICA,Euphytica,0,0,1,3,0,1,0,0
EurAmerica,,0,0,0,0,1,0,0,0
Eurasian Business Review,Eurasian Business Review,0,0,0,0,2,0,0,0
Eurasian Chemico-Technological Journal,Eurasian Chemico-Technological Journal,0,3,1,1,0,0,0,0
Eurasian Economic Review,Eurasian Economic Review,0,0,0,0,3,0,0,0
EURASIAN GEOGRAPHY AND ECONOMICS,Eurasian Geography and Economics,0,1,0,0,3,0,0,0
Eurasian Journal of Applied Linguistics,Eurasian Journal of Applied Linguistics,1,0,0,0,0,0,0,0
Eurasian Journal of Educational Research,Egitim Arastirmalari - Eurasian Journal of Educational Research,0,1,0,0,1,0,0,0
Eurasian Journal of Emergency Medicine,,0,1,2,0,0,0,0,0
Eurasian Journal of Mathematical and Computer Applications,Eurasian Journal of Mathematical and Computer Applications,0,5,0,0,1,2,0,0
Eurasian Journal of Medicine,Eurasian Journal of Medicine,0,1,3,0,0,0,0,0
Eurasian Journal of Pulmonology,,0,1,2,0,0,0,0,0
Eurasian Mathematical Journal,Eurasian Mathematical Journal,0,0,0,0,0,1,0,0
EURASIAN SOIL SCIENCE,Eurasian Soil Science,0,2,0,2,0,2,0,0
EURASIP Journal on Advances in Signal Processing,Eurasip Journal on Advances in Signal Processing,0,3,0,0,0,1,0,0
EURASIP Journal on Audio Speech and Music Processing,"Eurasip Journal on Audio, Speech, and Music Processing",0,3,1,0,0,1,0,0
EURASIP Journal on Bioinformatics and Systems Biology,Eurasip Journal on Bioinformatics and Systems Biology,0,2,2,1,0,2,0,0
EURASIP Journal on Embedded Systems,Eurasip Journal of Embedded Systems,0,4,0,0,0,1,0,0
EURASIP Journal on Image and Video Processing,Eurasip Journal on Image and Video Processing,0,4,0,0,1,1,0,0
EURASIP Journal on Information Security,Eurasip Journal on Information Security,0,3,0,0,2,1,0,0
EURASIP Journal on Wireless Communications and Networking,Eurasip Journal on Wireless Communications and Networking,0,2,0,0,0,1,0,0
Eureka-Revista Cientifica de Psicologia,,0,0,0,0,1,0,0,0
EURE-REVISTA LATINOAMERICANA DE ESTUDIOS URBANO REGIONALES,Eure,1,1,0,0,1,0,0,0
EURO Journal on Computational Optimization,EURO Journal on Computational Optimization,0,5,0,0,1,2,0,0
EURO Journal on Decision Processes,EURO Journal on Decision Processes,0,2,0,0,2,0,0,0
EURO Journal on Transportation and Logistics,,0,3,0,0,3,0,0,0
EuroChoices,EuroChoices,0,1,0,1,1,0,0,0
EuroIntervention,EuroIntervention,0,1,2,0,0,0,0,0
EuroMed Journal of Business,EuroMed Journal of Business,0,0,0,0,2,0,0,0
EUROPACE,Europace,0,1,2,0,0,0,0,0
European Accounting Review,European Accounting Review,0,0,0,0,2,0,0,0
European Actuarial Journal,European Actuarial Journal,0,0,0,0,2,1,0,0
EUROPEAN ADDICTION RESEARCH,European Addiction Research,0,1,3,0,1,0,0,0
European Annals of Allergy and Clinical Immunology,European Annals of Allergy and Clinical Immunology,0,0,3,0,0,0,0,0
European Annals of Otorhinolaryngology-Head and Neck Diseases,"European Annals of Otorhinolaryngology, Head and Neck Diseases",0,1,2,0,0,0,0,0
EUROPEAN ARCHIVES OF OTO-RHINO-LARYNGOLOGY,European Archives of Oto-Rhino-Laryngology,0,1,3,1,0,0,0,0
European Archives of Paediatric Dentistry,European Archives of Paediatric Dentistry,0,0,1,0,0,0,0,0
EUROPEAN ARCHIVES OF PSYCHIATRY AND CLINICAL NEUROSCIENCE,European Archives of Psychiatry and Clinical Neuroscience,0,1,3,0,0,1,0,0
EUROPEAN BIOPHYSICS JOURNAL WITH BIOPHYSICS LETTERS,European Biophysics Journal,0,2,3,0,0,3,0,0
European Business Organization Law Review,European Business Organization Law Review,0,0,0,0,3,0,0,0
European Business Review,European Business Review,0,0,0,0,2,0,0,0
European Cardiology Review,European Cardiology,0,1,2,0,0,0,0,0
EUROPEAN CELLS & MATERIALS,European Cells and Materials,0,4,3,1,0,2,0,0
EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,European Child and Adolescent Psychiatry,0,1,3,0,0,0,0,0
European Clinical Respiratory Journal,,0,1,2,0,0,0,0,0
European Comic Art,,3,0,0,0,0,0,0,0
European Company and Financial Law Review,European Company and Financial Law Review,0,0,0,0,2,0,0,0
European Company Law,,0,0,0,0,1,0,0,0
European Constitutional Law Review,European Constitutional Law Review,0,0,0,0,2,0,0,0
European Countryside,European Countryside,0,2,0,1,2,0,0,0
EUROPEAN CYTOKINE NETWORK,European Cytokine Network,0,1,3,0,0,1,0,0
European Early Childhood Education Research Journal,European Early Childhood Education Research Journal,0,0,0,0,1,0,0,0
EUROPEAN EATING DISORDERS REVIEW,European Eating Disorders Review,0,0,3,0,0,0,0,0
EUROPEAN ECONOMIC REVIEW,European Economic Review,0,0,0,0,3,0,0,0
European Education,European Education,0,1,0,0,1,0,0,0
European Educational Research Journal,European Educational Research Journal,0,1,0,0,1,0,0,0
European Endodontic Journal,,0,0,2,0,0,0,0,0
European Financial Management,European Financial Management,0,0,0,0,2,0,0,0
EUROPEAN FOOD RESEARCH AND TECHNOLOGY,European Food Research and Technology,0,5,3,4,0,1,0,0
European Geriatric Medicine,European Geriatric Medicine,0,1,3,0,0,0,0,0
EUROPEAN HEART JOURNAL,European Heart Journal,0,1,4,0,0,0,0,0
EUROPEAN HEART JOURNAL SUPPLEMENTS,"European Heart Journal, Supplement",0,1,3,0,0,0,0,0
European Heart Journal-Acute Cardiovascular Care,European Heart Journal: Acute Cardiovascular Care,0,1,3,1,0,0,0,0
European Heart Journal-Cardiovascular Imaging,European Heart Journal Cardiovascular Imaging,0,1,3,0,0,0,0,0
European Heart Journal-Cardiovascular Pharmacotherapy,European Heart Journal - Cardiovascular Pharmacotherapy,0,1,3,0,0,0,0,0
European Heart Journal-Quality of Care and Clinical Outcomes,European Heart Journal - Quality of Care and Clinical Outcomes,0,1,2,0,0,0,0,0
EUROPEAN HISTORY QUARTERLY,European History Quarterly,1,0,0,0,0,0,0,0
European Integration Studies,,1,0,0,0,4,0,0,0
European Journal for Philosophy of Religion,European Journal for Philosophy of Religion,2,0,0,0,1,0,1,0
European Journal for Philosophy of Science,European Journal for Philosophy of Science,2,0,0,0,0,0,0,0
European Journal for Research on the Education and Learning of Adults,European Journal for Research on the Education and Learning of Adults,0,0,0,0,1,0,0,0
European Journal for Sport and Society,,0,0,1,0,2,0,0,0
European Journal of Ageing,European Journal of Ageing,0,1,4,0,3,1,0,0
