Journal,Humanities,Technology,Medical,Farm,Social,Science,Religion,Arts
brachytherapy,0,1,3,0,0,0,0,0
bradleya,0,0,0,1,0,0,0,0
bragantia,0,1,0,1,0,1,0,0
brain,0,1,4,0,0,1,0,0
brain & development,0,1,3,1,0,1,0,0
brain and behavior,0,1,4,0,1,1,0,0
brain and cognition,1,3,4,0,1,1,0,0
brain and language,1,2,2,0,1,1,0,0
brain behavior and evolution,0,1,3,0,1,1,0,0
brain behavior and immunity,0,1,3,1,0,1,0,0
brain connectivity,0,2,3,0,0,1,0,0
brain imaging and behavior,0,2,3,0,1,1,0,0
brain impairment,0,2,3,0,1,1,0,0
brain injury,0,1,3,1,0,1,0,0
brain pathology,0,2,3,1,0,1,0,0
brain research,0,2,3,0,0,1,0,0
brain research bulletin,0,2,3,0,0,1,0,0
brain sciences,0,2,3,1,0,1,0,0
brain stimulation,0,2,4,0,0,1,0,0
brain structure & function,0,2,3,0,0,1,0,0
brain topography,0,1,3,1,0,1,0,0
brain tumor pathology,0,1,3,0,0,1,0,0
brain broad research in artificial intelligence and neuroscience,0,2,2,0,0,1,0,0
brain computer interfaces,0,2,3,0,0,1,0,0
bratislava medical journal bratislavske lekarske listy,0,1,2,0,0,0,0,0
brazilian archives of biology and technology,1,6,1,2,1,0,0,0
brazilian journal of analytical chemistry,0,0,1,2,0,1,0,0
brazilian journal of biology,0,1,1,2,0,0,0,0
brazilian journal of botany,0,0,0,1,0,1,0,0
brazilian journal of cardiovascular surgery,0,1,2,0,0,0,0,0
brazilian journal of chemical engineering,0,3,1,1,0,1,0,0
brazilian journal of geology,0,2,0,0,0,1,0,0
brazilian journal of hygiene and animal sanity,0,0,0,1,0,0,0,0
brazilian journal of infectious diseases,0,0,2,0,0,1,0,0
brazilian journal of medical and biological research,0,1,2,1,0,1,0,0
brazilian journal of microbiology,0,2,2,3,0,1,0,0
brazilian journal of oceanography,0,2,0,1,0,2,0,0
brazilian journal of operations & production management,0,2,0,0,1,1,0,0
brazilian journal of otorhinolaryngology,0,0,2,0,0,0,0,0
brazilian journal of pharmaceutical sciences,0,0,1,1,0,0,0,0
brazilian journal of physical therapy,0,1,2,0,0,0,0,0
brazilian journal of physics,0,1,0,0,0,2,0,0
brazilian journal of poultry science,0,0,0,3,0,0,0,0
brazilian journal of probability and statistics,0,1,0,0,1,1,0,0
brazilian journalism research,1,0,0,0,0,0,0,0
brazilian neurosurgery arquivos brasileiros de neurocirurgia,0,1,2,0,0,0,0,0
brazilian oral research,0,0,2,0,0,0,0,0
breast,0,1,3,0,0,1,0,0
breast cancer,0,1,3,1,0,2,0,0
breast cancer management,0,1,3,1,0,1,0,0
breast cancer research,0,1,3,1,0,2,0,0
breast cancer research and treatment,0,1,3,0,0,2,0,0
breast cancer basic and clinical research,0,1,3,0,0,1,0,0
breast cancer targets and therapy,0,1,2,0,0,1,0,0
breast care,0,1,3,0,0,1,0,0
breast journal,0,1,3,0,0,1,0,0
breastfeeding medicine,0,1,2,0,0,0,0,0
breathe,0,1,2,0,0,0,0,0
breeding science,0,0,1,3,0,1,0,0
bresil s,1,0,0,0,2,0,0,0
brewing science,0,1,1,2,0,1,0,0
brics law journal,0,0,0,0,1,0,0,0
bridge structures,0,3,0,0,0,0,0,0
briefings in bioinformatics,0,2,3,1,0,3,0,0
briefings in functional genomics,0,1,3,1,0,1,0,0
brills annual of afroasiatic languages and linguistics,2,0,0,0,0,0,0,0
britain and the world,1,0,0,0,0,0,0,0
britannia,2,0,0,0,1,0,0,0
british accounting review,0,0,0,0,1,0,0,0
british catholic history,3,0,0,0,1,0,1,0
british columbia medical journal,0,1,2,0,0,0,0,0
british dental journal,0,0,1,0,0,0,0,0
british educational research journal,1,1,0,0,2,0,0,0
british food journal,0,0,3,4,1,1,0,0
british journal for the history of philosophy,1,0,0,0,0,0,0,0
british journal for the history of science,2,1,0,0,0,0,0,0
british journal for the philosophy of science,2,0,0,0,0,0,0,0
british journal of aesthetics,2,1,0,0,0,0,0,0
british journal of american legal studies,0,0,0,0,1,0,0,0
british journal of anaesthesia,0,1,3,0,0,0,0,0
british journal of biomedical science,0,1,4,1,0,2,0,0
british journal of canadian studies,3,0,0,0,0,0,0,0
british journal of cancer,0,1,3,1,0,2,0,0
british journal of clinical pharmacology,0,0,3,1,0,0,0,0
british journal of clinical psychology,0,1,3,0,1,1,0,0
british journal of criminology,0,0,1,0,3,0,0,0
british journal of dermatology,0,0,3,0,0,1,0,0
british journal of developmental psychology,0,0,2,0,1,1,0,0
british journal of diabetes,0,1,2,0,0,1,0,0
british journal of educational psychology,0,0,0,0,2,0,0,0
british journal of educational studies,0,1,0,0,1,0,0,0
british journal of educational technology,0,1,0,0,2,0,0,0
british journal of general practice,0,1,3,0,0,0,0,0
british journal of guidance & counselling,0,0,1,0,1,0,0,0
british journal of haematology,0,1,3,0,0,0,0,0
british journal of health psychology,0,1,4,0,1,0,0,0
british journal of hospital medicine,0,1,3,0,0,0,0,0
british journal of industrial relations,0,1,0,0,4,0,0,0
british journal of learning disabilities,0,0,1,0,2,1,0,0
british journal of management,0,1,0,0,2,0,0,0
british journal of mathematical & statistical psychology,0,2,2,0,3,0,0,0
british journal of middle eastern studies,3,2,0,0,3,0,0,0
british journal of music education,1,0,1,0,0,0,0,0
british journal of music therapy,0,1,2,0,1,0,0,0
british journal of neurosurgery,0,1,2,1,0,0,0,0
british journal of nutrition,0,1,4,3,0,0,0,0
british journal of occupational therapy,0,1,2,0,1,0,0,0
british journal of ophthalmology,0,1,3,0,0,1,0,0
british journal of oral & maxillofacial surgery,0,1,2,0,0,0,0,0
british journal of pharmaceutical research,0,0,3,0,0,0,0,0
british journal of pharmacology,0,0,3,1,0,1,0,0
british journal of political science,1,0,0,0,3,0,0,0
british journal of politics & international relations,1,0,0,0,3,0,0,0
british journal of psychiatry,0,0,4,0,0,1,0,0
british journal of psychology,0,0,2,0,2,1,0,0
british journal of psychotherapy,0,0,3,0,1,0,0,0
british journal of radiology,0,1,3,0,0,0,0,0
british journal of religious education,1,1,0,0,2,0,1,0
british journal of social psychology,0,0,1,0,3,0,0,0
british journal of social work,0,0,1,0,3,0,0,0
british journal of sociology,1,0,0,0,2,0,0,0
british journal of sociology of education,1,1,0,0,2,0,0,0
british journal of special education,0,0,0,0,1,0,0,0
british journal of sports medicine,0,1,4,1,0,0,0,0
british journal of surgery,0,1,2,0,0,0,0,0
british journal of visual impairment,0,1,2,0,0,0,0,0
british journalism review,0,0,0,0,1,0,0,0
british medical bulletin,0,1,3,0,0,0,0,0
british politics,1,0,0,0,3,0,0,0
british poultry science,0,0,1,3,0,0,0,0
brittonia,0,0,1,2,0,1,0,0
brock education a journal of educational research and practice,0,1,0,0,1,0,0,0
brodogradnja,0,1,0,0,0,0,0,0
bronte studies,1,0,0,0,0,0,0,0
brookings papers on economic activity,0,0,0,0,1,0,0,0
brq business research quarterly,0,0,0,0,1,0,0,0
brumal research journal on the fantastic,4,0,0,0,0,0,0,0
bruniana & campanelliana,1,0,0,0,0,0,0,0
bruno pini mathematical analysis seminar,0,0,0,0,0,1,0,0
brussels studies,1,0,0,0,0,0,0,0
bryologist,0,0,1,2,0,1,0,0
bshm bulletin journal of the british society for the history of mathematics,1,0,0,0,0,1,0,0
buddhist studies review,1,0,0,0,0,0,0,0
buddhist christian studies,2,0,0,0,0,0,1,0
buffalo bulletin,0,0,0,1,0,0,0,0
buffalo law review,0,0,0,0,1,0,0,0
building acoustics,0,5,0,0,0,0,0,0
building and environment,0,3,0,1,1,1,0,0
building research and information,0,3,0,0,1,0,0,0
building services engineering research & technology,0,3,0,0,0,0,0,0
building simulation,0,3,0,0,1,0,0,0
buildings,0,3,0,0,0,0,0,0
buildings & landscapes journal of the vernacular architecture forum,2,1,0,0,1,0,0,0
built environment project and asset management,0,3,0,0,1,0,0,0
buletin penelitian kesehatan,0,1,0,0,0,0,0,0
buletin penelitian sistem kesehatan,0,0,4,0,0,0,0,0
bulgarian astronomical journal,0,0,0,0,0,1,0,0
bulgarian historical review revue bulgare d histoire,2,0,0,0,0,0,0,0
bulgarian journal of agricultural science,0,3,0,3,0,0,0,0
bulgarski ezik i literatura bulgarian language and literature,2,0,0,0,0,0,0,0
bulgarsko e spisanie za arkheologiya bulgarian e journal of archaeology,1,0,0,0,0,0,0,0
bulletin de correspondance hellenique,2,0,0,0,0,0,0,0
bulletin de l academie nationale de medecine,0,1,3,0,0,0,0,0
bsgf earth sciences bulletin,0,2,0,0,0,1,0,0
bulletin de la societe linneenne de lyon,0,1,0,0,0,0,0,0
bulletin de la societe mathematique de france,0,0,0,0,0,1,0,0
bulletin des sciences mathematiques,0,0,0,0,0,1,0,0
bulletin du cancer,0,1,3,0,0,0,0,0
bulletin du cegesoma,1,0,0,0,0,0,0,0
bulletin du centre de recherche du chateau de versailles,2,0,0,0,0,0,0,0
bulletin hispanique,3,0,0,0,0,0,0,0
bulletin knob,3,1,0,0,0,0,0,0
bulletin mathematique de la societe des sciences mathematiques de roumanie,0,0,0,0,0,1,0,0
bulletin monumental,3,0,0,0,0,0,0,0
bulletin of canadian petroleum geology,0,2,0,0,0,2,0,0
bulletin of chemical reaction engineering and catalysis,0,3,1,0,0,0,0,0
bulletin of computational applied mathematics,0,3,0,0,0,2,0,0
bulletin of dnipropetrovsk university series chemistry,0,0,0,0,0,1,0,0
bulletin of earthquake engineering,0,2,0,0,0,0,0,0
bulletin of economic research,0,0,0,0,2,0,0,0
bulletin of engineering geology and the environment,0,3,0,0,0,1,0,0
bulletin of entomological research,0,1,2,3,0,1,0,0
bulletin of environmental contamination and toxicology,0,1,3,5,0,2,0,0
bulletin of experimental biology and medicine,0,2,3,2,0,2,0,0
bulletin of geography physical geography series,0,1,0,1,0,1,0,0
bulletin of geography socio economic series,0,1,0,0,1,0,0,0
bulletin of geosciences,0,2,0,2,0,2,0,0
bulletin of glaciological research,0,2,0,0,0,1,0,0
bulletin of hispanic studies,2,0,0,0,0,0,0,0
bulletin of indonesian economic studies,0,0,0,0,2,0,0,0
bulletin of insectology,0,0,0,3,0,1,0,0
bulletin of latin american research,1,1,0,0,3,0,0,0
bulletin of marine science,0,2,0,1,0,2,0,0
bulletin of materials science,0,4,1,1,0,1,0,0
bulletin of mathematical analysis and applications,0,0,0,0,0,1,0,0
bulletin of mathematical biology,0,1,1,1,0,2,0,0
bulletin of mathematical sciences,0,0,0,0,0,1,0,0
bulletin of medieval canon law new series,0,0,0,0,2,0,0,0
bulletin of russian state medical university,0,1,2,0,0,0,0,0
bulletin of spanish studies,3,0,0,0,1,0,0,0
bulletin of symbolic logic,1,1,0,0,0,2,0,0
bulletin of the american mathematical society,0,0,0,0,0,1,0,0
bulletin of the american meteorological society,0,0,0,1,0,1,0,0
bulletin of the american museum of natural history,0,0,0,1,0,1,0,0
bulletin of the american society of papyrologists,2,0,0,0,1,0,0,0
bulletin of the atomic scientists,0,0,0,0,3,0,0,0
bulletin of the australian mathematical society,0,0,0,0,0,1,0,0
bulletin of the belgian mathematical society simon stevin,0,0,0,0,0,1,0,0
bulletin of the brazilian mathematical society,0,0,0,0,0,1,0,0
bulletin of the chemical society of ethiopia,0,1,0,1,0,0,0,0
bulletin of the chemical society of japan,0,1,1,1,0,1,0,0
bulletin of the comediantes,3,0,0,0,0,0,0,0
bulletin of the council for research in music education,1,0,0,0,0,0,0,0
bulletin of the european association for theoretical computer science,0,1,0,0,0,1,0,0
bulletin of the european association of fish pathologists,0,0,0,2,0,1,0,0
bulletin of the geological society of denmark,0,2,0,0,0,1,0,0
bulletin of the geological society of finland,0,2,0,0,0,1,0,0
bulletin of the german historical institute,1,0,0,0,0,0,0,0
bulletin of the history of archaeology,2,0,0,0,0,0,0,0
bulletin of the history of medicine,1,2,3,0,0,0,0,0
bulletin of the hospital for joint diseases,0,1,2,0,0,0,0,0
bulletin of the institute of classical studies,4,0,0,0,0,0,0,0
bulletin of the institute of history and philology academia sinica,3,0,0,0,0,0,0,0
bulletin of the institute of mathematics academia sinica new series,0,0,0,0,0,1,0,0
bulletin of the iranian mathematical society,0,0,0,0,0,1,0,0
bulletin of the john rylands library,3,0,0,0,0,0,1,0
bulletin of the karaganda university mathematics,0,0,0,0,0,1,0,0
bulletin of the korean chemical society,0,3,1,1,0,1,0,0
bulletin of the korean mathematical society,0,0,0,0,0,1,0,0
bulletin of the lebedev physics institute,0,1,0,0,0,2,0,0
bulletin of the london mathematical society,0,0,0,0,0,1,0,0
bulletin of the malaysian mathematical sciences society,0,0,0,0,0,1,0,0
bulletin of the menninger clinic,0,0,2,0,1,0,0,0
bulletin of the mineral research and exploration,0,2,0,0,0,1,0,0
bulletin of the national academy of sciences of the republic of kazakhstan,1,6,1,1,1,2,0,0
bulletin of the new zealand society for earthquake engineering,0,2,0,0,0,0,0,0
bulletin of the peabody museum of natural history,0,1,0,5,0,1,0,0
bulletin of the polish academy of sciences technical sciences,0,8,0,1,1,1,0,0
bulletin of the school of oriental and african studies university of london,3,0,0,0,1,0,0,0
bulletin of the seismological society of america,0,1,0,0,0,2,0,0
bulletin of the south ural state university series mathematical modelling programming & computer software,0,2,0,0,0,2,0,0
bulletin of the technical committee on learning technology,0,0,0,0,2,0,0,0
bulletin of the tomsk polytechnic university geo assets engineering,0,3,0,1,0,0,0,0
bulletin of the university of karaganda chemistry,0,0,0,0,0,1,0,0
bulletin of the university of karaganda physics,0,1,0,0,0,1,0,0
bulletin of the world health organization,0,0,3,0,1,0,0,0
bulletin of tokyo dental college,0,1,1,0,0,0,0,0
bulletin of university of agricultural sciences and veterinary medicine cluj napoca food science and technology,0,0,0,1,0,0,0,0
bulletin of volcanology,0,0,0,0,0,1,0,0
bundesgesundheitsblatt gesundheitsforschung gesundheitsschutz,0,0,1,0,0,0,0,0
bunseki kagaku,0,0,1,2,0,0,0,0
burlington magazine,1,1,0,0,0,0,0,0
burns,0,1,3,0,0,0,0,0
burns & trauma,0,1,3,0,0,0,0,0
business & information systems engineering,0,1,0,0,1,1,0,0
business & professional ethics journal,1,0,0,0,0,0,0,0
business & society,0,0,1,0,2,0,0,0
business and economic horizons,0,0,0,0,2,0,0,0
business and human rights journal,0,0,0,0,3,0,0,0
business and politics,1,0,0,0,2,0,0,0
business and professional communication quarterly,2,0,1,0,2,0,0,0
business and society review,0,0,0,0,2,0,0,0
business ethics quarterly,1,0,0,0,2,0,0,0
business ethics a european review,1,0,0,0,2,0,0,0
business history,1,0,0,0,1,0,0,0
business history review,1,0,0,0,1,0,0,0
business horizons,0,0,0,0,1,0,0,0
business peace and sustainable development,0,1,0,0,2,0,0,0
business process management journal,0,0,0,0,1,0,0,0
business strategy and the environment,0,1,0,1,3,0,0,0
business systems research journal,0,1,1,0,2,0,0,0
bylye gody,1,0,0,0,0,0,0,0
byu studies quarterly,2,0,0,0,0,0,0,0
byulleten sibirskoy meditsiny,0,1,2,0,0,0,0,0
byzantine and modern greek studies,6,0,0,0,0,0,0,0
byzantinische zeitschrift,5,0,0,0,1,0,1,0
byzantinoslavica,2,0,0,0,0,0,1,0
ca a cancer journal for clinicians,0,1,3,0,0,0,0,0
cadernos benjaminianos,3,0,0,0,0,0,0,0
cadernos brasileiros de terapia ocupacional brazilian journal of occupational therapy,0,0,3,0,0,0,0,0
cadernos de dereito actual,0,0,0,0,1,0,0,0
cadernos de estudos linguisticos,1,0,0,0,0,0,0,0
cadernos de historia,2,0,0,0,0,0,0,0
cadernos de letras da uff,2,0,0,0,0,0,0,0
cadernos de saude publica,0,0,2,0,1,0,0,0
cadernos de traducao,2,0,0,0,0,0,0,0
cadernos educacao tecnologia e sociedade,0,0,0,0,2,0,0,0
cadernos gestao publica e cidadania,0,0,0,0,2,0,0,0
cadmo,0,1,0,0,0,0,0,0
cahiers agricultures,0,2,0,1,0,0,0,0
cahiers balkaniques,3,0,0,0,0,0,0,0
cahiers d etudes africaines,2,1,0,0,1,0,0,0
cahiers d etudes du religieux recherches interdisciplinaires,1,0,0,0,1,0,1,0
cahiers de biologie marine,0,0,0,0,0,1,0,0
cahiers de civilisation espagnole contemporaine de 1808 au temps present,2,0,0,0,0,0,0,0
cahiers de civilisation medievale,4,0,0,0,0,0,0,0
cahiers de droit,0,0,0,0,1,0,0,0
cahiers de l annee gerontologique,0,0,2,0,0,0,0,0
cahiers de narratologie,1,0,0,0,0,0,0,0
cahiers de nutrition et de dietetique,0,1,2,1,0,0,0,0
cahiers des ameriques latines,1,0,0,0,1,0,0,0
cahiers des etudes anciennes,2,0,0,0,0,0,0,0
cahiers du monde russe,2,0,0,0,2,0,0,0
cahiers elisabethains,2,0,0,0,0,0,0,0
cahiers mondes anciens,2,0,0,0,0,0,0,0
cahiers quebecois de demographie,1,0,0,0,2,0,0,0
cahiers victoriens & edouardiens,1,0,0,0,0,0,0,0
caietele echinox,3,0,0,0,0,0,0,0
cailiao gongcheng journal of materials engineering,0,3,1,0,0,0,0,0
calcified tissue international,0,1,3,0,0,1,0,0
calcolo,0,0,0,0,0,1,0,0
calculus of variations and partial differential equations,0,0,0,0,0,1,0,0
caldasia,0,1,0,1,0,0,0,0
calico journal,0,0,0,0,2,0,0,0
calidad de vida y salud,0,0,0,0,1,0,0,0
california agriculture,0,1,0,1,0,0,0,0
california archaeology,1,0,0,0,0,0,0,0
california cooperative oceanic fisheries investigations reports,0,1,0,1,0,0,0,0
california fish and game,0,0,0,1,0,0,0,0
california history,1,0,0,0,0,0,0,0
california law review,0,0,0,0,1,0,0,0
california management review,0,0,0,0,1,0,0,0
caligrama revista de estudos romanicos,1,0,0,0,0,0,0,0
callaloo,3,0,0,0,0,0,0,0
calle 14 revista de investigacion en el campo del arte,1,1,0,0,0,0,0,0
calphad computer coupling of phase diagrams and thermochemistry,0,3,1,1,0,1,0,0
cambio rivista sulle trasformazioni sociali,0,0,0,0,1,0,0,0
cambrian medieval celtic studies,4,0,0,0,1,0,0,0
cambridge archaeological journal,1,1,0,0,0,0,0,0
cambridge classical journal,5,0,0,0,0,0,0,0
cambridge international law journal,0,0,0,0,3,0,0,0
cambridge journal of anthropology,3,0,0,0,1,0,0,0
cambridge journal of economics,1,0,0,0,3,0,0,0
cambridge journal of education,0,1,0,0,1,0,0,0
cambridge journal of mathematics,0,0,0,0,0,1,0,0
cambridge journal of postcolonial literary inquiry,1,0,0,0,0,0,0,0
cambridge journal of regions economy and society,1,1,0,0,6,0,0,0
cambridge law journal,0,0,0,0,3,0,0,0
cambridge opera journal,1,0,0,0,0,0,0,0
cambridge quarterly,2,0,0,0,0,0,0,0
cambridge quarterly of healthcare ethics,1,1,3,0,0,0,0,0
cambridge review of international affairs,1,0,0,0,2,0,0,0
camera obscura,2,0,0,0,0,0,0,0
camino real estudios de las hispanidades norteamericanas,3,0,0,0,1,0,0,0
campus virtuales,0,2,0,0,0,0,0,0
canadian aeronautics and space journal,0,1,0,0,0,1,0,0
canadian association of radiologists journal journal de l association canadienne des radiologistes,0,1,3,1,0,0,0,0
canadian bulletin of medical history,2,1,2,1,0,0,0,0
canadian entomologist,0,1,1,2,0,1,0,0
canadian ethnic studies etudes ethniques au canada,1,0,0,0,1,0,0,0
canadian family physician,0,1,2,0,0,0,0,0
canadian foreign policy,1,0,0,0,2,0,0,0
canadian geographer geographe canadien,0,1,0,0,1,0,0,0
canadian geotechnical journal,0,2,0,0,0,1,0,0
canadian geriatrics journal,0,0,3,0,0,0,0,0
canadian graduate journal of sociology and criminology,0,0,0,0,1,0,0,0
canadian historical review,1,0,0,0,0,0,0,0
canadian journal american and caribbean studies,2,0,0,0,1,0,0,0
canadian journal for the scholarship of teaching and learning,0,0,0,0,1,0,0,0
canadian journal for the study of adult education,0,0,0,0,1,0,0,0
canadian journal of addiction,0,0,3,0,1,0,0,0
canadian journal of administrative sciences revue canadienne des sciences de l administration,0,0,0,0,3,0,0,0
canadian journal of african studies,3,0,0,0,2,0,0,0
canadian journal of agricultural economics revue canadienne d agroeconomie,0,0,0,1,2,0,0,0
canadian journal of anesthesia journal canadien d anesthesie,0,1,3,1,0,0,0,0
canadian journal of animal science,0,0,0,3,0,0,0,0
canadian journal of applied linguistics,1,0,0,0,0,0,0,0
canadian journal of behavioural science revue canadienne des sciences du comportement,0,0,1,0,2,0,0,0
canadian journal of cardiology,0,1,3,1,0,0,0,0
canadian journal of career development,0,0,0,0,1,0,0,0
canadian journal of chemical engineering,0,3,1,1,0,1,0,0
canadian journal of chemistry,0,2,1,1,0,1,0,0
canadian journal of civil engineering,0,3,0,2,0,0,0,0
canadian journal of communication,1,0,0,0,2,0,0,0
canadian journal of criminology and criminal justice,0,0,0,0,4,0,0,0
canadian journal of development studies revue canadienne d etudes du developpement,0,1,1,0,3,0,0,0
canadian journal of diabetes,0,1,3,1,0,1,0,0
canadian journal of dietetic practice and research,0,1,1,1,0,0,0,0
canadian journal of earth sciences,0,2,0,0,0,1,0,0
canadian journal of economics revue canadienne d economique,0,0,0,0,2,0,0,0
canadian journal of educational administration and policy,0,0,0,0,1,0,0,0
canadian journal of electrical and computer engineering revue canadienne de genie electrique et informatique,0,3,0,0,0,1,0,0
canadian journal of emergency medicine,0,1,2,0,0,0,0,0
canadian journal of experimental psychology revue canadienne de psychologie experimentale,0,1,4,0,1,0,0,0
canadian journal of family and youth,1,0,0,0,2,0,0,0
canadian journal of film studies revue canadienne d etudes cinematographiques,2,0,0,0,0,0,0,0
canadian journal of fisheries and aquatic sciences,0,0,0,2,0,1,0,0
canadian journal of forest research,0,1,0,2,0,1,0,0
canadian journal of gastroenterology and hepatology,0,1,3,1,0,0,0,0
canadian journal of higher education,0,1,0,0,2,0,0,0
canadian journal of history annales canadiennes d histoire,1,0,0,0,0,0,0,0
canadian journal of hospital pharmacy,0,0,1,0,0,0,0,0
canadian journal of human sexuality,1,0,2,0,1,0,0,0
canadian journal of infectious diseases & medical microbiology,0,1,3,1,0,1,0,0
canadian journal of information and library science revue canadienne des sciences de l information et de bibliotheconomie,0,1,0,0,1,0,0,0
canadian journal of law and jurisprudence,0,0,0,0,2,0,0,0
canadian journal of law and society,0,0,0,0,3,0,0,0
canadian journal of linguistics revue canadienne de linguistique,1,0,0,0,0,0,0,0
canadian journal of mathematics journal canadien de mathematiques,0,0,0,0,0,1,0,0
canadian journal of microbiology,0,1,3,4,0,1,0,0
canadian journal of neurological sciences,0,1,3,1,0,1,0,0
canadian journal of nonprofit and social economy research,0,0,0,0,1,0,0,0
canadian journal of nursing research,0,0,1,0,0,0,0,0
canadian journal of occupational therapy revue canadienne d ergotherapie,0,1,1,0,1,0,0,0
canadian journal of ophthalmology journal canadien d ophtalmologie,0,1,3,1,0,0,0,0
canadian journal of philosophy,1,0,0,0,1,0,0,0
canadian journal of physics,0,1,0,0,0,2,0,0
canadian journal of physiology and pharmacology,0,1,3,1,0,1,0,0
canadian journal of plant pathology,0,0,1,2,0,1,0,0
canadian journal of plant science,0,1,1,2,0,1,0,0
canadian journal of political science revue canadienne de science politique,1,0,0,0,3,0,0,0
canadian journal of program evaluation,0,0,0,0,1,0,0,0
canadian journal of psychiatry revue canadienne de psychiatrie,0,0,2,0,0,0,0,0
canadian journal of public health revue canadienne de sante publique,0,1,1,1,0,0,0,0
canadian journal of remote sensing,0,4,0,2,1,1,0,0
canadian journal of respiratory critical care and sleep medicine,0,1,2,0,0,0,0,0
canadian journal of rural medicine,0,1,2,0,0,0,0,0
canadian journal of school psychology,0,0,0,0,1,0,0,0
canadian journal of science mathematics and technology education,0,0,0,0,2,0,0,0
canadian journal of sociology cahiers canadiens de sociologie,0,0,0,0,1,0,0,0
canadian journal of soil science,0,2,0,2,0,2,0,0
canadian journal of speech language pathology and audiology,1,1,1,0,1,0,0,0
canadian journal of statistics revue canadienne de statistique,0,1,0,0,2,1,0,0
canadian journal of surgery,0,1,2,0,0,0,0,0
canadian journal of urology,0,1,2,0,0,0,0,0
canadian journal of veterinary research revue canadienne de recherche veterinaire,0,1,2,2,0,0,0,0
canadian journal of women and the law,1,0,0,0,2,0,0,0
canadian journal of zoology,0,0,0,2,0,1,0,0
canadian journal on aging revue canadienne du vieillissement,0,0,3,0,1,0,0,0
canadian literature,1,0,0,0,0,0,0,0
canadian mathematical bulletin bulletin canadien de mathematiques,0,0,0,0,0,1,0,0
canadian medical association journal,0,1,3,0,0,0,0,0
canadian metallurgical quarterly,0,2,0,0,0,0,0,0
canadian mineralogist,0,1,0,0,0,1,0,0
canadian modern language review revue canadienne des langues vivantes,1,0,0,0,1,0,0,0
canadian pharmacists journal,0,0,2,0,0,0,0,0
canadian poetry,1,0,0,0,0,0,0,0
canadian political science review,1,0,0,0,1,0,0,0
canadian psychology psychologie canadienne,0,0,0,0,2,0,0,0
canadian public administration administration publique du canada,0,0,0,0,5,0,0,0
canadian public policy analyse de politiques,0,0,0,0,5,0,0,0
canadian respiratory journal,0,1,2,0,0,0,0,0
canadian review of american studies,3,0,0,0,1,0,0,0
canadian review of comparative literature revue canadienne de litterature comparee,1,0,0,0,0,0,0,0
canadian review of sociology revue canadienne de sociologie,1,1,0,0,1,0,0,0
canadian slavonic papers,2,0,0,0,1,0,0,0
canadian society of forensic science journal,0,0,2,0,1,1,0,0
canadian studies in population,1,0,0,0,3,0,0,0
canadian theatre review,2,0,0,0,0,0,0,0
canadian veterinary journal revue veterinaire canadienne,0,1,1,2,0,0,0,0
canadian water resources journal,0,2,0,1,0,1,0,0
cancer,0,1,3,1,0,2,0,0
cancer & metabolism,0,1,3,0,0,2,0,0
cancer and metastasis reviews,0,1,3,0,0,2,0,0
cancer biology & medicine,0,1,3,0,0,2,0,0
cancer biology & therapy,0,1,3,1,0,2,0,0
cancer biomarkers,0,1,3,1,0,2,0,0
cancer biotherapy and radiopharmaceuticals,0,1,3,0,0,2,0,0
cancer causes & control,0,1,3,0,0,1,0,0
cancer cell,0,1,3,0,0,2,0,0
cancer cell international,0,1,3,0,0,2,0,0
cancer chemotherapy and pharmacology,0,1,3,0,0,2,0,0
cancer communications,0,1,3,0,0,2,0,0
cancer control,0,1,3,1,0,1,0,0
cancer cytopathology,0,1,3,0,0,1,0,0
cancer discovery,0,1,3,1,0,2,0,0
cancer epidemiology,0,1,3,0,0,1,0,0
cancer epidemiology biomarkers & prevention,0,1,3,1,0,2,0,0
cancer forum,0,1,3,0,0,1,0,0
cancer gene therapy,0,1,3,0,0,1,0,0
cancer genetics,0,1,3,0,0,1,0,0
cancer genomics & proteomics,0,1,3,0,0,2,0,0
cancer growth and metastasis,0,1,3,1,0,1,0,0
cancer imaging,0,2,3,1,0,2,0,0
cancer immunology immunotherapy,0,1,3,1,0,2,0,0
cancer immunology research,0,1,3,0,0,2,0,0
cancer informatics,0,2,3,0,0,2,0,0
cancer investigation,0,1,3,0,0,1,0,0
cancer journal,0,1,3,0,0,1,0,0
cancer letters,0,1,3,1,0,2,0,0
cancer management and research,0,1,3,1,0,1,0,0
cancer medicine,0,1,3,0,0,1,0,0
cancer microenvironment,0,1,3,0,0,1,0,0
cancer nursing,0,0,3,0,0,0,0,0
cancer prevention research,0,1,3,1,0,1,0,0
cancer radiotherapie,0,1,3,1,0,1,0,0
cancer research,0,1,3,0,0,2,0,0
cancer research and treatment,0,1,3,0,0,2,0,0
cancer science,0,1,3,1,0,2,0,0
cancer treatment reviews,0,1,3,1,0,2,0,0
cancers,0,1,3,1,0,2,0,0
candollea,0,0,1,2,0,1,0,0
capital and class,2,0,0,0,2,0,0,0
capital markets law journal,0,0,0,0,2,0,0,0
capitale culturale studies on the value of cultural heritage,3,1,0,0,1,0,0,0
capjournal,0,0,0,0,0,1,0,0
caplletra,2,0,0,0,0,0,0,0
caracol,1,0,0,0,0,0,0,0
caracteres estudios culturales y criticos de la esfera digital,4,0,0,0,0,0,0,0
